origin,event_id,as_of,legal_known,treatment_known,national_candidate_eligible,reason,event_effective_from,h_effective
2019-02,VAT21_START,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2021-11,33
2019-02,VAT21_EXPIRY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2022-01,35
2019-02,POZE22_ANNOUNCE,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2022-10,44
2019-02,POZE23_ADOPT,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,47
2019-02,POZE24_EXPIRY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,59
2019-02,SAVING22_LOW,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2022-10,44
2019-02,SAVING22_HIGH,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2022-10,44
2019-02,SAVING22_EXPIRY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,47
2019-02,SAVING23_CANCEL,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,47
2019-02,CAP23_ELECTRICITY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,47
2019-02,CAP24_EXPIRY_ELECTRICITY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,59
2019-02,CAP23_GAS,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,47
2019-02,CAP24_EXPIRY_GAS,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,59
