week,petrol95,diesel,origin,model
2019-02-04,30.168910079999993,30.866910719999996,2019-02,FUEL_SPOT_ECM_R17
2019-02-11,30.064061400000032,30.94403556000003,2019-02,FUEL_SPOT_ECM_R17
2019-02-18,29.992947400000023,30.83691370000003,2019-02,FUEL_SPOT_ECM_R17
2019-02-25,30.098921429999997,30.99498072,2019-02,FUEL_SPOT_ECM_R17
2019-03-04,30.289698802044075,31.1626004612363,2019-02,FUEL_SPOT_ECM_R17
2019-03-11,30.463782787444202,31.275293979700738,2019-02,FUEL_SPOT_ECM_R17
2019-03-18,30.64430253828092,31.37573149245539,2019-02,FUEL_SPOT_ECM_R17
2019-03-25,30.812373579743547,31.45515783526082,2019-02,FUEL_SPOT_ECM_R17
2019-04-01,30.957714270473005,31.510769076550254,2019-02,FUEL_SPOT_ECM_R17
2019-04-08,31.085074695447386,31.551598503007767,2019-02,FUEL_SPOT_ECM_R17
2019-04-15,31.197764976463805,31.583041512843188,2019-02,FUEL_SPOT_ECM_R17
2019-04-22,31.298169052401196,31.60833934747417,2019-02,FUEL_SPOT_ECM_R17
2019-04-29,31.38806594239339,31.629456121475407,2019-02,FUEL_SPOT_ECM_R17
2019-05-06,31.46883156012139,31.647597360369883,2019-02,FUEL_SPOT_ECM_R17
2019-05-13,31.54156632536764,31.663516699609122,2019-02,FUEL_SPOT_ECM_R17
2019-05-20,31.607176599199462,31.677697394973052,2019-02,FUEL_SPOT_ECM_R17
2019-05-27,31.666427310588816,31.69045984252373,2019-02,FUEL_SPOT_ECM_R17
2019-06-03,31.71997654419317,31.702025359752582,2019-02,FUEL_SPOT_ECM_R17
2019-06-10,31.76839877387838,31.712554103487015,2019-02,FUEL_SPOT_ECM_R17
2019-06-17,31.812200896685198,31.722167687761548,2019-02,FUEL_SPOT_ECM_R17
2019-06-24,31.851833654675023,31.730962744325044,2019-02,FUEL_SPOT_ECM_R17
2019-07-01,31.887700060676085,31.739019115607864,2019-02,FUEL_SPOT_ECM_R17
2019-07-08,31.92016184140971,31.746404861544946,2019-02,FUEL_SPOT_ECM_R17
2019-07-15,31.949544537336234,31.753179370311727,2019-02,FUEL_SPOT_ECM_R17
2019-07-22,31.976141665880693,31.759395336296592,2019-02,FUEL_SPOT_ECM_R17
2019-07-29,32.000218209666635,31.765100057330642,2019-02,FUEL_SPOT_ECM_R17
2019-08-05,32.022013600693136,31.77033631918289,2019-02,FUEL_SPOT_ECM_R17
2019-08-12,32.041744314410984,31.775143026531556,2019-02,FUEL_SPOT_ECM_R17
2019-08-19,32.05960615161999,31.779555675270053,2019-02,FUEL_SPOT_ECM_R17
2019-08-26,32.0757762631094,31.783606722920034,2019-02,FUEL_SPOT_ECM_R17
2019-09-02,32.090414957096044,31.78732589136173,2019-02,FUEL_SPOT_ECM_R17
2019-09-09,32.103667319739614,31.790740422706907,2019-02,FUEL_SPOT_ECM_R17
2019-09-16,32.115664672445654,31.79387530118086,2019-02,FUEL_SPOT_ECM_R17
2019-09-23,32.12652588513069,31.796753449131995,2019-02,FUEL_SPOT_ECM_R17
2019-09-30,32.13635856139056,31.79939590243958,2019-02,FUEL_SPOT_ECM_R17
2019-10-07,32.145260109126355,31.80182196886915,2019-02,FUEL_SPOT_ECM_R17
2019-10-14,32.153318708355926,31.80404937187209,2019-02,FUEL_SPOT_ECM_R17
2019-10-21,32.1606141864924,31.806094381671585,2019-02,FUEL_SPOT_ECM_R17
2019-10-28,32.16721881018966,31.80797193505997,2019-02,FUEL_SPOT_ECM_R17
2019-11-04,32.173198001864385,31.809695745058914,2019-02,FUEL_SPOT_ECM_R17
2019-11-11,32.17861098815672,31.811278401406465,2019-02,FUEL_SPOT_ECM_R17
2019-11-18,32.18351138685465,31.81273146270146,2019-02,FUEL_SPOT_ECM_R17
2019-11-25,32.18794773815878,31.814065540935133,2019-02,FUEL_SPOT_ECM_R17
2019-12-02,32.19196398558893,31.81529037906099,2019-02,FUEL_SPOT_ECM_R17
2019-12-09,32.19559991132005,31.816414922189335,2019-02,FUEL_SPOT_ECM_R17
2019-12-16,32.19889153027486,31.817447382938184,2019-02,FUEL_SPOT_ECM_R17
2019-12-23,32.201871446885534,31.818395301424683,2019-02,FUEL_SPOT_ECM_R17
2019-12-30,32.204569178064524,31.81926560033934,2019-02,FUEL_SPOT_ECM_R17
2020-01-06,32.207011445586815,31.820064635507652,2019-02,FUEL_SPOT_ECM_R17
2020-01-13,32.20922244078199,31.820798242309888,2019-02,FUEL_SPOT_ECM_R17
2020-01-20,32.21122406415947,31.821471778298736,2019-02,FUEL_SPOT_ECM_R17
2020-01-27,32.21303614234109,31.82209016232672,2019-02,FUEL_SPOT_ECM_R17
2020-02-03,32.21467662445053,31.822657910469307,2019-02,FUEL_SPOT_ECM_R17
2020-02-10,32.216161759904985,31.823179169006288,2019-02,FUEL_SPOT_ECM_R17
2020-02-17,32.21750625937056,31.82365774470238,2019-02,FUEL_SPOT_ECM_R17
2020-02-24,32.21872344047565,31.824097132608248,2019-02,FUEL_SPOT_ECM_R17
2019-02-04,30.168910079999993,30.866910719999996,2019-02,FUEL_ANNUAL_R17
2019-02-11,30.064061400000032,30.94403556000003,2019-02,FUEL_ANNUAL_R17
2019-02-18,29.992947400000023,30.83691370000003,2019-02,FUEL_ANNUAL_R17
2019-02-25,30.098921429999997,30.99498072,2019-02,FUEL_ANNUAL_R17
2019-03-04,30.289698802044075,31.1626004612363,2019-02,FUEL_ANNUAL_R17
2019-03-11,30.463782787444202,31.275293979700738,2019-02,FUEL_ANNUAL_R17
2019-03-18,30.643937601784668,31.375234329159927,2019-02,FUEL_ANNUAL_R17
2019-03-25,30.81018867483652,31.45253071315206,2019-02,FUEL_ANNUAL_R17
2019-04-01,30.95205939389838,31.50427332384136,2019-02,FUEL_ANNUAL_R17
2019-04-08,31.07487411959463,31.54012452450866,2019-02,FUEL_ANNUAL_R17
2019-04-15,31.18230373787383,31.565858361792287,2019-02,FUEL_ANNUAL_R17
2019-04-22,31.276960315341135,31.584946193211728,2019-02,FUEL_ANNUAL_R17
2019-04-29,31.36076845817725,31.599493967412457,2019-02,FUEL_ANNUAL_R17
2019-05-06,31.43519817062512,31.61079640280877,2019-02,FUEL_ANNUAL_R17
2019-05-13,31.501411717043492,31.619664783798495,2019-02,FUEL_ANNUAL_R17
2019-05-20,31.56035700562038,31.626620972303368,2019-02,FUEL_ANNUAL_R17
2019-05-27,31.612827641495127,31.63201234703449,2019-02,FUEL_ANNUAL_R17
2019-06-03,31.659502139629065,31.636079998713107,2019-02,FUEL_ANNUAL_R17
2019-06-10,31.70097004705433,31.63899928395643,2019-02,FUEL_ANNUAL_R17
2019-06-17,31.737749788543194,31.640904026276672,2019-02,FUEL_ANNUAL_R17
2019-06-24,31.770301231388142,31.641901035550983,2019-02,FUEL_ANNUAL_R17
2019-07-01,31.7990348381671,31.64207888924087,2019-02,FUEL_ANNUAL_R17
2019-07-08,31.82431857764094,31.64151330666533,2019-02,FUEL_ANNUAL_R17
2019-07-15,31.84648333024937,31.640270495100324,2019-02,FUEL_ANNUAL_R17
2019-07-22,31.86582725512952,31.6384092835785,2019-02,FUEL_ANNUAL_R17
2019-07-29,31.88261941772415,31.635982527580314,2019-02,FUEL_ANNUAL_R17
2019-08-05,31.89710287221317,31.633038071154086,2019-02,FUEL_ANNUAL_R17
2019-08-12,31.90949732726162,31.629619436726315,2019-02,FUEL_ANNUAL_R17
2019-08-19,31.920001482109356,31.625766344084923,2019-02,FUEL_ANNUAL_R17
2019-08-26,31.92879509365543,31.621515119308448,2019-02,FUEL_ANNUAL_R17
2019-09-02,31.936040818226267,31.61689903029516,2019-02,FUEL_ANNUAL_R17
2019-09-09,31.94188586063636,31.61194857123426,2019-02,FUEL_ANNUAL_R17
2019-09-16,31.94646345576554,31.606691709849635,2019-02,FUEL_ANNUAL_R17
2019-09-23,31.94989420282936,31.60115410616554,2019-02,FUEL_ANNUAL_R17
2019-09-30,31.952287268963165,31.595359308494885,2019-02,FUEL_ANNUAL_R17
2019-10-07,31.953741476148334,31.589328930505175,2019-02,FUEL_ANNUAL_R17
2019-10-14,31.95434628355052,31.58308281208763,2019-02,FUEL_ANNUAL_R17
2019-10-21,31.954182675807044,31.57663916605042,2019-02,FUEL_ANNUAL_R17
2019-10-28,31.953323966561257,31.570014712207303,2019-02,FUEL_ANNUAL_R17
2019-11-04,31.951836525512153,31.563224800136314,2019-02,FUEL_ANNUAL_R17
2019-11-11,31.94978043637194,31.556283521679518,2019-02,FUEL_ANNUAL_R17
2019-11-18,31.947210092367126,31.54920381410858,2019-02,FUEL_ANNUAL_R17
2019-11-25,31.944174735254908,31.54199755477047,2019-02,FUEL_ANNUAL_R17
2019-12-02,31.940718943239393,31.534675647940496,2019-02,FUEL_ANNUAL_R17
2019-12-09,31.936883072648424,31.52724810453822,2019-02,FUEL_ANNUAL_R17
2019-12-16,31.932703657763426,31.519724115301035,2019-02,FUEL_ANNUAL_R17
2019-12-23,31.92821377277344,31.512112117957138,2019-02,FUEL_ANNUAL_R17
2019-12-30,31.923443359445137,31.504419858892906,2019-02,FUEL_ANNUAL_R17
2020-01-06,31.918419523758658,31.496654449767668,2019-02,FUEL_ANNUAL_R17
2020-01-13,31.913166804450096,31.488822419490713,2019-02,FUEL_ANNUAL_R17
2020-01-20,31.90770741612209,31.480929761941226,2019-02,FUEL_ANNUAL_R17
2020-01-27,31.902061469331695,31.472981979779995,2019-02,FUEL_ANNUAL_R17
