candidate,reference,frame,block,n,delta,lower,upper,draws,seed,coverage,selection_status
R9_HALF,R9_BASE,all,3,90,-0.004255109091485798,-0.010818601196584562,0.003995210948816986,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
R9_HALF,R9_BASE,all,6,90,-0.004255109091485798,-0.00886108372951638,0.0019901094520934763,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
R9_HALF,R9_BASE,all,12,90,-0.004255109091485798,-0.008619079249273182,0.0022140824958148944,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
R9_HALF,R9_BASE,2024+,3,31,0.0006103098497225456,-0.009041812429669107,0.009613916733942768,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
R9_HALF,R9_BASE,2024+,6,31,0.0006103098497225456,-0.009883822912061599,0.009521652579077987,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
R9_HALF,R9_BASE,2024+,12,31,0.0006103098497225456,-0.010458913004443916,0.009257186988212747,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
R9_FULL,R9_BASE,all,3,90,-0.004020700394509857,-0.017652025471917066,0.014279797933454684,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
R9_FULL,R9_BASE,all,6,90,-0.004020700394509857,-0.013190993669646121,0.009435345244244393,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
R9_FULL,R9_BASE,all,12,90,-0.004020700394509857,-0.012887791360930826,0.010095073362468033,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
R9_FULL,R9_BASE,2024+,3,31,0.006338818721064066,-0.012206384173036069,0.023533144627925585,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
R9_FULL,R9_BASE,2024+,6,31,0.006338818721064066,-0.013566056709359038,0.023210514500590224,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
R9_FULL,R9_BASE,2024+,12,31,0.006338818721064066,-0.014738671040324548,0.022101490363707794,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
TARGET_OWN,R9_BASE,all,3,90,-0.009004554933710773,-0.02937785378062067,0.014029535138272112,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
