metric,h,sample,r16_n,r15_n,common_n,r16_only_n,r15_only_n,r16_only_origins,r15_only_origins
headline_cumulative_log,3,origins_2019_2021,32,32,32,0,0,,
headline_cumulative_log,3,origins_2022_2023,24,24,24,0,0,,
headline_cumulative_log,3,origins_2024plus,28,28,28,0,0,,
headline_cumulative_log,3,recent_targets,31,31,31,0,0,,
headline_cumulative_log,4,full,83,83,83,0,0,,
headline_cumulative_log,4,origins_2019_2021,32,32,32,0,0,,
headline_cumulative_log,4,origins_2022_2023,24,24,24,0,0,,
headline_cumulative_log,4,origins_2024plus,27,27,27,0,0,,
headline_cumulative_log,4,recent_targets,31,31,31,0,0,,
headline_cumulative_log,5,full,82,82,82,0,0,,
headline_cumulative_log,5,origins_2019_2021,32,32,32,0,0,,
headline_cumulative_log,5,origins_2022_2023,24,24,24,0,0,,
headline_cumulative_log,5,origins_2024plus,26,26,26,0,0,,
headline_cumulative_log,5,recent_targets,31,31,31,0,0,,
headline_cumulative_log,6,full,81,81,81,0,0,,
headline_cumulative_log,6,origins_2019_2021,32,32,32,0,0,,
headline_cumulative_log,6,origins_2022_2023,24,24,24,0,0,,
headline_cumulative_log,6,origins_2024plus,25,25,25,0,0,,
headline_cumulative_log,6,recent_targets,31,31,31,0,0,,
headline_cumulative_log,7,full,80,80,80,0,0,,
headline_cumulative_log,7,origins_2019_2021,32,32,32,0,0,,
headline_cumulative_log,7,origins_2022_2023,24,24,24,0,0,,
headline_cumulative_log,7,origins_2024plus,24,24,24,0,0,,
headline_cumulative_log,7,recent_targets,31,31,31,0,0,,
headline_cumulative_log,8,full,79,79,79,0,0,,
headline_cumulative_log,8,origins_2019_2021,32,32,32,0,0,,
headline_cumulative_log,8,origins_2022_2023,24,24,24,0,0,,
headline_cumulative_log,8,origins_2024plus,23,23,23,0,0,,
headline_cumulative_log,8,recent_targets,31,31,31,0,0,,
headline_cumulative_log,9,full,78,78,78,0,0,,
headline_cumulative_log,9,origins_2019_2021,32,32,32,0,0,,
headline_cumulative_log,9,origins_2022_2023,24,24,24,0,0,,
headline_cumulative_log,9,origins_2024plus,22,22,22,0,0,,
headline_cumulative_log,9,recent_targets,31,31,31,0,0,,
headline_cumulative_log,10,full,77,77,77,0,0,,
headline_cumulative_log,10,origins_2019_2021,32,32,32,0,0,,
headline_cumulative_log,10,origins_2022_2023,24,24,24,0,0,,
headline_cumulative_log,10,origins_2024plus,21,21,21,0,0,,
headline_cumulative_log,10,recent_targets,31,31,31,0,0,,
headline_cumulative_log,11,full,76,76,76,0,0,,
headline_cumulative_log,11,origins_2019_2021,32,32,32,0,0,,
headline_cumulative_log,11,origins_2022_2023,24,24,24,0,0,,
headline_cumulative_log,11,origins_2024plus,20,20,20,0,0,,
headline_cumulative_log,11,recent_targets,31,31,31,0,0,,
headline_cumulative_log,12,full,75,75,75,0,0,,
headline_cumulative_log,12,origins_2019_2021,32,32,32,0,0,,
headline_cumulative_log,12,origins_2022_2023,24,24,24,0,0,,
headline_cumulative_log,12,origins_2024plus,19,19,19,0,0,,
headline_cumulative_log,12,recent_targets,31,31,31,0,0,,
core_mm,1,full,89,89,89,0,0,,
core_mm,1,origins_2019_2021,35,35,35,0,0,,
core_mm,1,origins_2022_2023,24,24,24,0,0,,
core_mm,1,origins_2024plus,30,30,30,0,0,,
core_mm,1,recent_targets,31,31,31,0,0,,
core_mm,2,full,88,88,88,0,0,,
core_mm,2,origins_2019_2021,35,35,35,0,0,,
core_mm,2,origins_2022_2023,24,24,24,0,0,,
core_mm,2,origins_2024plus,29,29,29,0,0,,
core_mm,2,recent_targets,31,31,31,0,0,,
core_mm,3,full,87,87,87,0,0,,
core_mm,3,origins_2019_2021,35,35,35,0,0,,
core_mm,3,origins_2022_2023,24,24,24,0,0,,
core_mm,3,origins_2024plus,28,28,28,0,0,,
core_mm,3,recent_targets,31,31,31,0,0,,
core_mm,4,full,86,86,86,0,0,,
core_mm,4,origins_2019_2021,35,35,35,0,0,,
core_mm,4,origins_2022_2023,24,24,24,0,0,,
core_mm,4,origins_2024plus,27,27,27,0,0,,
core_mm,4,recent_targets,31,31,31,0,0,,
core_mm,5,full,85,85,85,0,0,,
core_mm,5,origins_2019_2021,35,35,35,0,0,,
core_mm,5,origins_2022_2023,24,24,24,0,0,,
core_mm,5,origins_2024plus,26,26,26,0,0,,
core_mm,5,recent_targets,31,31,31,0,0,,
core_mm,6,full,84,84,84,0,0,,
core_mm,6,origins_2019_2021,35,35,35,0,0,,
core_mm,6,origins_2022_2023,24,24,24,0,0,,
core_mm,6,origins_2024plus,25,25,25,0,0,,
core_mm,6,recent_targets,31,31,31,0,0,,
core_mm,7,full,83,83,83,0,0,,
core_mm,7,origins_2019_2021,35,35,35,0,0,,
core_mm,7,origins_2022_2023,24,24,24,0,0,,
core_mm,7,origins_2024plus,24,24,24,0,0,,
core_mm,7,recent_targets,31,31,31,0,0,,
core_mm,8,full,82,82,82,0,0,,
core_mm,8,origins_2019_2021,35,35,35,0,0,,
core_mm,8,origins_2022_2023,24,24,24,0,0,,
core_mm,8,origins_2024plus,23,23,23,0,0,,
core_mm,8,recent_targets,31,31,31,0,0,,
core_mm,9,full,81,81,81,0,0,,
core_mm,9,origins_2019_2021,35,35,35,0,0,,
core_mm,9,origins_2022_2023,24,24,24,0,0,,
core_mm,9,origins_2024plus,22,22,22,0,0,,
core_mm,9,recent_targets,31,31,31,0,0,,
core_mm,10,full,80,80,80,0,0,,
core_mm,10,origins_2019_2021,35,35,35,0,0,,
core_mm,10,origins_2022_2023,24,24,24,0,0,,
core_mm,10,origins_2024plus,21,21,21,0,0,,
core_mm,10,recent_targets,31,31,31,0,0,,
core_mm,11,full,79,79,79,0,0,,
core_mm,11,origins_2019_2021,35,35,35,0,0,,
core_mm,11,origins_2022_2023,24,24,24,0,0,,
core_mm,11,origins_2024plus,20,20,20,0,0,,
core_mm,11,recent_targets,31,31,31,0,0,,
core_mm,12,full,78,78,78,0,0,,
core_mm,12,origins_2019_2021,35,35,35,0,0,,
core_mm,12,origins_2022_2023,24,24,24,0,0,,
core_mm,12,origins_2024plus,19,19,19,0,0,,
core_mm,12,recent_targets,31,31,31,0,0,,
core_cumulative_log,1,full,89,89,89,0,0,,
core_cumulative_log,1,origins_2019_2021,35,35,35,0,0,,
core_cumulative_log,1,origins_2022_2023,24,24,24,0,0,,
core_cumulative_log,1,origins_2024plus,30,30,30,0,0,,
core_cumulative_log,1,recent_targets,31,31,31,0,0,,
core_cumulative_log,2,full,88,88,88,0,0,,
core_cumulative_log,2,origins_2019_2021,35,35,35,0,0,,
core_cumulative_log,2,origins_2022_2023,24,24,24,0,0,,
core_cumulative_log,2,origins_2024plus,29,29,29,0,0,,
core_cumulative_log,2,recent_targets,31,31,31,0,0,,
core_cumulative_log,3,full,87,87,87,0,0,,
core_cumulative_log,3,origins_2019_2021,35,35,35,0,0,,
core_cumulative_log,3,origins_2022_2023,24,24,24,0,0,,
core_cumulative_log,3,origins_2024plus,28,28,28,0,0,,
core_cumulative_log,3,recent_targets,31,31,31,0,0,,
core_cumulative_log,4,full,86,86,86,0,0,,
core_cumulative_log,4,origins_2019_2021,35,35,35,0,0,,
core_cumulative_log,4,origins_2022_2023,24,24,24,0,0,,
core_cumulative_log,4,origins_2024plus,27,27,27,0,0,,
core_cumulative_log,4,recent_targets,31,31,31,0,0,,
core_cumulative_log,5,full,85,85,85,0,0,,
core_cumulative_log,5,origins_2019_2021,35,35,35,0,0,,
core_cumulative_log,5,origins_2022_2023,24,24,24,0,0,,
core_cumulative_log,5,origins_2024plus,26,26,26,0,0,,
core_cumulative_log,5,recent_targets,31,31,31,0,0,,
core_cumulative_log,6,full,84,84,84,0,0,,
core_cumulative_log,6,origins_2019_2021,35,35,35,0,0,,
core_cumulative_log,6,origins_2022_2023,24,24,24,0,0,,
core_cumulative_log,6,origins_2024plus,25,25,25,0,0,,
core_cumulative_log,6,recent_targets,31,31,31,0,0,,
core_cumulative_log,7,full,83,83,83,0,0,,
core_cumulative_log,7,origins_2019_2021,35,35,35,0,0,,
core_cumulative_log,7,origins_2022_2023,24,24,24,0,0,,
core_cumulative_log,7,origins_2024plus,24,24,24,0,0,,
core_cumulative_log,7,recent_targets,31,31,31,0,0,,
core_cumulative_log,8,full,82,82,82,0,0,,
core_cumulative_log,8,origins_2019_2021,35,35,35,0,0,,
core_cumulative_log,8,origins_2022_2023,24,24,24,0,0,,
core_cumulative_log,8,origins_2024plus,23,23,23,0,0,,
core_cumulative_log,8,recent_targets,31,31,31,0,0,,
core_cumulative_log,9,full,81,81,81,0,0,,
core_cumulative_log,9,origins_2019_2021,35,35,35,0,0,,
core_cumulative_log,9,origins_2022_2023,24,24,24,0,0,,
core_cumulative_log,9,origins_2024plus,22,22,22,0,0,,
core_cumulative_log,9,recent_targets,31,31,31,0,0,,
core_cumulative_log,10,full,80,80,80,0,0,,
core_cumulative_log,10,origins_2019_2021,35,35,35,0,0,,
core_cumulative_log,10,origins_2022_2023,24,24,24,0,0,,
core_cumulative_log,10,origins_2024plus,21,21,21,0,0,,
core_cumulative_log,10,recent_targets,31,31,31,0,0,,
core_cumulative_log,11,full,79,79,79,0,0,,
core_cumulative_log,11,origins_2019_2021,35,35,35,0,0,,
core_cumulative_log,11,origins_2022_2023,24,24,24,0,0,,
core_cumulative_log,11,origins_2024plus,20,20,20,0,0,,
core_cumulative_log,11,recent_targets,31,31,31,0,0,,
core_cumulative_log,12,full,78,78,78,0,0,,
core_cumulative_log,12,origins_2019_2021,35,35,35,0,0,,
core_cumulative_log,12,origins_2022_2023,24,24,24,0,0,,
core_cumulative_log,12,origins_2024plus,19,19,19,0,0,,
core_cumulative_log,12,recent_targets,31,31,31,0,0,,
