origin,model,block,h,as_of,train_start,train_end,last_training_target,training_last_release,training_origins,target_kind,prediction,n_train,fit_status,intercept_target_mean
2019-02,CORE_SPLIT_CUMULATIVE_R13,catering,1,2019-03-10 23:59:00,2016-02,2018-12,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12,arithmetic_mean_future_mm,,35,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,accommodation,1,2019-03-10 23:59:00,2016-02,2018-12,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12,arithmetic_mean_future_mm,,35,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,package_holidays,1,2019-03-10 23:59:00,2016-02,2018-12,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12,arithmetic_mean_future_mm,,35,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,1,2019-03-10 23:59:00,2016-02,2018-12,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12,arithmetic_mean_future_mm,,35,insufficient_history,
2019-02,CORE_AGG_CUMULATIVE_LABOUR_R13,core,1,2019-03-10 23:59:00,2018-02,2018-12,2019-01,2019-02-13 09:00:00,2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12,arithmetic_mean_future_mm,,11,insufficient_history,
2019-02,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,1,2019-03-10 23:59:00,2018-02,2018-12,2019-01,2019-02-13 09:00:00,2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12,arithmetic_mean_future_mm,,11,insufficient_history,
2019-02,CORE_AGG_MONTHLY_R13,core,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,monthly_mm,,34,insufficient_history,
2019-02,CORE_AGG_CUMULATIVE_R13,core,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,arithmetic_mean_future_mm,,34,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,actual_rent,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,monthly_mm,,34,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,imputed_rent,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,monthly_mm,,34,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,catering,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,monthly_mm,,34,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,accommodation,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,monthly_mm,,34,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,package_holidays,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,monthly_mm,,34,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,monthly_mm,,34,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,actual_rent,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,arithmetic_mean_future_mm,,34,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,arithmetic_mean_future_mm,,34,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,catering,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,arithmetic_mean_future_mm,,34,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,accommodation,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,arithmetic_mean_future_mm,,34,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,package_holidays,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,arithmetic_mean_future_mm,,34,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,2,2019-03-10 23:59:00,2016-02,2018-11,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,arithmetic_mean_future_mm,,34,insufficient_history,
2019-02,CORE_AGG_CUMULATIVE_LABOUR_R13,core,2,2019-03-10 23:59:00,2018-02,2018-11,2019-01,2019-02-13 09:00:00,2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,arithmetic_mean_future_mm,,10,insufficient_history,
2019-02,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,2,2019-03-10 23:59:00,2018-02,2018-11,2019-01,2019-02-13 09:00:00,2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11,arithmetic_mean_future_mm,,10,insufficient_history,
2019-02,CORE_AGG_MONTHLY_R13,core,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,monthly_mm,,33,insufficient_history,
2019-02,CORE_AGG_CUMULATIVE_R13,core,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,arithmetic_mean_future_mm,,33,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,actual_rent,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,monthly_mm,,33,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,imputed_rent,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,monthly_mm,,33,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,catering,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,monthly_mm,,33,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,accommodation,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,monthly_mm,,33,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,package_holidays,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,monthly_mm,,33,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,monthly_mm,,33,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,actual_rent,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,arithmetic_mean_future_mm,,33,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,arithmetic_mean_future_mm,,33,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,catering,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,arithmetic_mean_future_mm,,33,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,accommodation,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,arithmetic_mean_future_mm,,33,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,package_holidays,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,arithmetic_mean_future_mm,,33,insufficient_history,
2019-02,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,3,2019-03-10 23:59:00,2016-02,2018-10,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,arithmetic_mean_future_mm,,33,insufficient_history,
2019-02,CORE_AGG_CUMULATIVE_LABOUR_R13,core,3,2019-03-10 23:59:00,2018-02,2018-10,2019-01,2019-02-13 09:00:00,2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,arithmetic_mean_future_mm,,9,insufficient_history,
2019-02,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,3,2019-03-10 23:59:00,2018-02,2018-10,2019-01,2019-02-13 09:00:00,2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10,arithmetic_mean_future_mm,,9,insufficient_history,
2019-02,CORE_AGG_MONTHLY_R13,core,4,2019-03-10 23:59:00,2016-02,2018-09,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09,monthly_mm,,32,insufficient_history,
2019-02,CORE_AGG_CUMULATIVE_R13,core,4,2019-03-10 23:59:00,2016-02,2018-09,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09,arithmetic_mean_future_mm,,32,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,actual_rent,4,2019-03-10 23:59:00,2016-02,2018-09,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09,monthly_mm,,32,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,imputed_rent,4,2019-03-10 23:59:00,2016-02,2018-09,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09,monthly_mm,,32,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,catering,4,2019-03-10 23:59:00,2016-02,2018-09,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09,monthly_mm,,32,insufficient_history,
2019-02,CORE_SPLIT_MONTHLY_R13,accommodation,4,2019-03-10 23:59:00,2016-02,2018-09,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09,monthly_mm,,32,insufficient_history,
