origin,model,block,h,native_target_prediction,projection_coefficient,projected_core_target
2019-03,CORE_SPLIT_CUMULATIVE_R13,catering,6,,0.051351304,
2019-03,CORE_SPLIT_CUMULATIVE_R13,accommodation,6,,0.007778524,
2019-03,CORE_SPLIT_CUMULATIVE_R13,package_holidays,6,,0.019182249,
2019-03,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,6,,1.0,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_R13,core,6,,0.5518118388714258,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,6,,0.5518118388714258,
2019-03,CORE_AGG_MONTHLY_R13,core,7,,0.5518118388714258,
2019-03,CORE_AGG_CUMULATIVE_R13,core,7,,0.5518118388714258,
2019-03,CORE_SPLIT_MONTHLY_R13,actual_rent,7,,0.033660201,
2019-03,CORE_SPLIT_MONTHLY_R13,imputed_rent,7,,0.10385733600000001,
2019-03,CORE_SPLIT_MONTHLY_R13,catering,7,,0.051351304,
2019-03,CORE_SPLIT_MONTHLY_R13,accommodation,7,,0.007778524,
2019-03,CORE_SPLIT_MONTHLY_R13,package_holidays,7,,0.019182249,
2019-03,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,7,,1.0,
2019-03,CORE_SPLIT_CUMULATIVE_R13,actual_rent,7,,0.033660201,
2019-03,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,7,,0.10385733600000001,
2019-03,CORE_SPLIT_CUMULATIVE_R13,catering,7,,0.051351304,
2019-03,CORE_SPLIT_CUMULATIVE_R13,accommodation,7,,0.007778524,
2019-03,CORE_SPLIT_CUMULATIVE_R13,package_holidays,7,,0.019182249,
2019-03,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,7,,1.0,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_R13,core,7,,0.5518118388714258,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,core,7,,0.5518118388714258,
2019-03,CORE_AGG_MONTHLY_R13,core,8,,0.5518118388714258,
2019-03,CORE_AGG_CUMULATIVE_R13,core,8,,0.5518118388714258,
2019-03,CORE_SPLIT_MONTHLY_R13,actual_rent,8,,0.033660201,
2019-03,CORE_SPLIT_MONTHLY_R13,imputed_rent,8,,0.10385733600000001,
2019-03,CORE_SPLIT_MONTHLY_R13,catering,8,,0.051351304,
2019-03,CORE_SPLIT_MONTHLY_R13,accommodation,8,,0.007778524,
2019-03,CORE_SPLIT_MONTHLY_R13,package_holidays,8,,0.019182249,
2019-03,CORE_SPLIT_MONTHLY_R13,remaining_core_tax_reconciliation,8,,1.0,
2019-03,CORE_SPLIT_CUMULATIVE_R13,actual_rent,8,,0.033660201,
2019-03,CORE_SPLIT_CUMULATIVE_R13,imputed_rent,8,,0.10385733600000001,
2019-03,CORE_SPLIT_CUMULATIVE_R13,catering,8,,0.051351304,
2019-03,CORE_SPLIT_CUMULATIVE_R13,accommodation,8,,0.007778524,
2019-03,CORE_SPLIT_CUMULATIVE_R13,package_holidays,8,,0.019182249,
2019-03,CORE_SPLIT_CUMULATIVE_R13,remaining_core_tax_reconciliation,8,,1.0,
2019-03,CORE_AGG_CUMULATIVE_LABOUR_R13,core,8,,0.5518118388714258,
