source,target_month,assumed_available_from,timezone,status
CNB_core,2015-01,2015-02-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2015-02,2015-03-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2015-03,2015-04-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2015-04,2015-05-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2015-05,2015-06-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2015-06,2015-07-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2015-07,2015-08-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2015-08,2015-09-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2015-09,2015-10-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2015-10,2015-11-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2015-11,2015-12-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2015-12,2016-01-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2016-01,2016-02-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2016-02,2016-03-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2016-03,2016-04-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2016-04,2016-05-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2016-05,2016-06-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2016-06,2016-07-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2016-07,2016-08-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2016-08,2016-09-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2016-09,2016-10-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2016-10,2016-11-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2016-11,2016-12-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2016-12,2017-01-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2017-01,2017-02-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2017-02,2017-03-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2017-03,2017-04-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2017-04,2017-05-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2017-05,2017-06-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2017-06,2017-07-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2017-07,2017-08-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2017-08,2017-09-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2017-09,2017-10-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2017-10,2017-11-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2017-11,2017-12-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2017-12,2018-01-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2018-01,2018-02-14 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2018-02,2018-03-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
