as_of_utc,target,model,mm_forecast,native_h0,h0_exante,h0_actual,h0_method,mm_actual,yy_actual,yy_exante,yy_conditional,status,converged,fallback_used,unemployment_end,unemployment_adjustments,fx_end,headline_n,origin,h,origin_status,contribution_core,contribution_food,contribution_administered,contribution_alcohol_tobacco,contribution_fuel,contribution_wedge,value_core,value_food,value_administered,value_alcohol_tobacco,value_fuel,value_wedge,weight_food,weight_fuel,weight_alc,weight_administered,weight_core
2019-03-10T22:59:00+00:00,2019-02,FOOD_DOMESTIC_PIPELINE_R14,0.3177548805881821,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1867413632119507,2.6794258373205744,2.8136990211578414,2.6794258373205744,estimated,True,False,2019-01,sa,2019-02,336,2019-02,0,estimated,,,,,,,,,,,,,,,,,
2019-03-10T22:59:00+00:00,2019-03,FOOD_DOMESTIC_PIPELINE_R14,-0.04698248987663408,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1863932898415576,2.969348659003822,2.8638288714247953,2.7294902187379027,estimated,True,False,2019-01,sa,2019-02,336,2019-02,1,estimated,0.013724088651450599,-0.06351561257198034,0.015380661933310783,0.04671971117706229,-0.01576630584147233,-0.04352503322500508,0.025073771816025797,-0.35757722517998075,0.1,0.5070259413749834,-0.542306325016606,-0.04352503322500508,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922
2019-03-10T22:59:00+00:00,2019-04,FOOD_DOMESTIC_PIPELINE_R14,0.3283349997276536,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.0930232558139509,2.769818529130847,2.905860328472889,2.7714667833192066,estimated,True,False,2019-01,sa,2019-02,336,2019-02,2,estimated,0.2899267146913097,-0.060538657149681915,0.015380661933310783,0.06032955966627137,0.04403957144572428,-0.020802850859280558,0.5296931892648143,-0.34081770076881945,0.1,0.6547269024545554,1.514808756482089,-0.020802850859280558,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922
2019-03-10T22:59:00+00:00,2019-05,FOOD_DOMESTIC_PIPELINE_R14,0.2540919250426114,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.6505576208178487,2.9467680608364977,2.67699676143672,2.542902108746812,estimated,True,False,2019-01,sa,2019-02,336,2019-02,3,estimated,0.09104824474250621,0.029038733245247077,0.015380661933310783,0.011091361384545593,0.0776049184759356,0.02992800526106615,0.16634422662972032,0.16348090234994894,0.1,0.12036906490745512,2.669340463458103,0.02992800526106615,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922
2019-03-10T22:59:00+00:00,2019-06,FOOD_DOMESTIC_PIPELINE_R14,0.15497865087952686,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1846722068328699,2.7462121212121224,2.446593412350228,2.3127996630568837,estimated,True,False,2019-01,sa,2019-02,336,2019-02,4,estimated,0.11638162315771826,-0.01981769915147641,0.0,-0.0040829653995750155,0.06063279834126233,0.0018648939315976873,0.21262805398206847,-0.11156875585519758,0.0,-0.0443104061040811,2.085558302277124,0.0018648939315976873,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922
2019-03-10T22:59:00+00:00,2019-07,FOOD_DOMESTIC_PIPELINE_R14,0.28756671845681736,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.3686635944700533,2.9300567107750517,2.54697795791299,2.413053107874617,estimated,True,False,2019-01,sa,2019-02,336,2019-02,5,estimated,0.29913785988584635,-0.0558499009645351,0.007690330966655392,0.046131120814105864,-0.008890492919020776,-0.0006521993262344136,0.5465218588134975,-0.31442116047992213,0.05,0.5006382609860527,-0.30580217020895195,-0.0006521993262344136,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922
2019-03-10T22:59:00+00:00,2019-08,FOOD_DOMESTIC_PIPELINE_R14,-0.06631915287747635,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.0918273645546419,2.9272898961284195,2.3822001055127178,2.2484904529342002,estimated,True,False,2019-01,sa,2019-02,336,2019-02,6,estimated,0.06708825768232995,-0.11505747824170019,0.0,-0.030673282247466654,-0.02489574176974306,0.037219091699103604,0.12256957145811512,-0.647745210033962,0.0,-0.3328819766809238,-0.8563273073263544,0.037219091699103604,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922
2019-03-10T22:59:00+00:00,2019-09,FOOD_DOMESTIC_PIPELINE_R14,-0.1264950277103687,,0.3177548805881821,0.1867413632119507,HARD_BASE,-0.5504587155963248,2.6515151515151705,2.5431823145765047,2.409262421592691,estimated,True,False,2019-01,sa,2019-02,336,2019-02,7,estimated,-0.1588898879712165,0.023984293469086437,0.015380661933310783,0.026029154569884028,0.015899083101351172,-0.04889833281278459,-0.29029022589730136,0.13502565368253466,0.1,0.2824815536417502,0.5468734029722588,-0.04889833281278459,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922
2019-03-10T22:59:00+00:00,2019-10,FOOD_DOMESTIC_PIPELINE_R14,0.3736846722167498,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.4612546125461358,2.735849056603792,2.5379690712920246,2.404055986727523,estimated,True,False,2019-01,sa,2019-02,336,2019-02,8,estimated,0.2709605981459022,0.07203852461133543,0.0,0.01070812796820212,0.027003195568433537,-0.007025774077123541,0.4950422852541182,0.40555911678233114,0.0,0.11621002199403706,0.9288164202613469,-0.007025774077123541,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922
2019-03-10T22:59:00+00:00,2019-11,FOOD_DOMESTIC_PIPELINE_R14,0.14869205806264055,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.2754820936639035,3.116147308781873,2.7874041369855918,2.6531652938816133,estimated,True,False,2019-01,sa,2019-02,336,2019-02,9,estimated,0.11377053424351447,0.028610729599758716,0.0,-0.007630898881345322,0.0006025839154107918,0.013339109185301897,0.20785762081970469,0.1610713474433155,0.0,-0.0828143751614413,0.020726800048553873,0.013339109185301897,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922
