origin,level,change3,change12,unemployment_change3,ulc_growth12,ip_growth3
2006-01,2.1761491781512694,-0.3906254967065097,-3.933360757829819,0.10000000000000053,0.0,2.0129528307414826
2006-02,2.566774674857779,0.19512201312617483,-2.502536756694033,0.0,0.0,2.685904198444075
2006-03,2.46926125903715,0.19531256208820746,-2.600050172514662,-0.5,-1.5438903151651304,3.289419722521862
2006-04,2.3716526617316043,0.19550348358033487,-2.5073637552115957,-0.10000000000000053,-1.5438903151651304,0.23871010578593405
2006-05,2.3716526617316043,-0.19512201312617483,-2.5073637552115957,-0.6000000000000005,-1.5438903151651304,1.277015070985509
2006-06,2.46926125903715,0.0,-0.9708814126960901,-0.2999999999999998,-0.14566644964642667,-0.9389230504757793
2006-07,2.1761491781512694,-0.19550348358033487,-0.8767713253310179,-0.39999999999999947,-0.14566644964642667,5.144836192189617
2006-08,2.3716526617316043,0.0,-0.19512201312617483,-0.09999999999999964,-0.14566644964642667,2.232784925699975
2006-09,2.566774674857779,0.09751341582062922,0.0,-0.2999999999999998,0.7423939071282266,3.5109440302232016
2006-10,2.46926125903715,0.2931120808858805,-0.09751341582062922,-0.20000000000000018,0.7423939071282266,-0.7504143936728316
2006-11,2.3716526617316043,0.0,0.0,-0.5,0.7423939071282266,2.3400602921241265
2006-12,2.3716526617316043,-0.19512201312617483,0.09770396478266186,-0.20000000000000018,0.5970166986503975,1.2627293851709733
2007-01,2.46926125903715,0.0,0.2931120808858805,-0.6000000000000005,0.5970166986503975,3.1171148947141516
2007-02,2.46926125903715,0.09760859730554561,-0.09751341582062922,-0.6000000000000005,0.5970166986503975,3.1799935258603917
2007-03,2.7615167032973362,0.38986404156573196,0.29225544426018635,-0.7000000000000002,1.5438903151651409,7.5322170431959306
2007-04,2.858745685191255,0.3894844261541053,0.4870930234596509,-0.8999999999999995,1.5438903151651409,5.013903650603247
2007-05,3.149866705937099,0.680605446899949,0.7782140442054946,-0.5999999999999996,1.5438903151651409,4.084880603938568
2007-06,2.566774674857779,-0.19474202843955712,0.09751341582062922,-0.39999999999999947,3.156646596783451,-0.5041093409798666
2007-07,2.7615167032973362,-0.09722898189391893,0.5853675251460668,-0.20000000000000018,3.156646596783451,0.8440862721903473
2007-08,2.3716526617316043,-0.7782140442054946,0.0,-0.40000000000000036,3.156646596783451,-1.0664346193134782
2007-09,1.8821754240587758,-0.6845992507990033,-0.6845992507990033,-0.40000000000000036,2.771876952182813,1.7522620262141198
2007-10,2.2739486969489424,-0.4875680063483938,-0.19531256208820746,-0.2999999999999998,2.771876952182813,-0.22309616281679007
2007-11,2.3716526617316043,0.0,0.0,-0.09999999999999964,2.771876952182813,0.8328265815836909
2007-12,2.46926125903715,0.5870858349783741,0.09760859730554561,-0.2999999999999998,2.643325706815543,-0.10316194410469604
2008-01,2.566774674857779,0.2928259779088367,0.09751341582062922,-0.20000000000000018,2.643325706815543,1.5908601253319115
2008-02,4.018178963283183,1.6465263015515785,1.548917704246033,-0.40000000000000036,2.643325706815543,3.7843253833888673
2008-03,4.497336564273115,2.0280753052359652,1.735819860975779,-0.20000000000000018,2.067613283842722,2.2778227726563944
2008-04,4.783732941416012,2.2169582665582332,1.9249872562247572,-0.5,2.067613283842722,2.809513494171791
2008-05,4.8790164169432,0.8608374536600172,1.7291497110061012,-0.2999999999999998,2.067613283842722,-3.4199771985712695
2008-06,4.9742091894814076,0.47687262520829243,2.4074345146236285,-0.40000000000000036,6.162113410617387,-0.29558337829442793
2008-07,5.069311431551812,0.2855784901357996,2.3077947282544757,0.09999999999999964,6.162113410617387,-2.4015524036650264
2008-08,5.164323315183845,0.2853068982406448,2.7926706534522405,0.0,6.162113410617387,-0.4340088885346004
2008-09,5.259245011917059,0.28503582243565173,3.3770695878582835,0.0,3.533936644530886,-5.436033558046686
2008-10,5.543470688810059,0.4741592572582469,3.2695219918611165,-0.1999999999999993,3.533936644530886,-6.1541100753338664
2008-11,5.354076692802982,0.18975337761913735,2.982424031071378,-0.09999999999999964,3.533936644530886,-3.647753655115069
2008-12,5.164323315183845,-0.09492169673321449,2.695062056146695,0.3000000000000007,1.7241806434506173,-4.196104730983404
2009-01,4.8790164169432,-0.6644542718668589,2.312241742085421,0.39999999999999947,1.7241806434506173,-6.084761065280491
2009-02,3.44014267173324,-1.9139340210697422,-0.5780362915499428,1.0999999999999996,1.7241806434506173,-8.683501889110017
2009-03,2.858745685191255,-2.3055776299925896,-1.63859087908186,1.1999999999999993,4.40364678539397,-11.766688832612788
2009-04,2.6641930946421177,-2.2148233223010823,-2.1195398467738946,1.1000000000000005,4.40364678539397,-7.766130906734578
2009-05,2.46926125903715,-0.9708814126960901,-2.40975515790605,1.0,4.40364678539397,-4.174695756821491
2009-06,2.3716526617316043,-0.4870930234596509,-2.6025565277498033,1.0,3.2661296378497995,0.40508534148631137
2009-07,1.9802627296179713,-0.6839303650241464,-3.089048701933841,0.6999999999999993,3.2661296378497995,0.1856367656797949
2009-08,1.6857117066422904,-0.7835495523948595,-3.4786116085415544,0.7000000000000002,3.2661296378497995,0.7298817179360029
2009-09,1.390290516899142,-0.9813621448324623,-3.8689544950179173,0.8000000000000007,2.7398974188114344,0.340317068344797
2009-10,1.1928570865273802,-0.7874056430905911,-4.350613602282679,0.8000000000000007,2.7398974188114344,3.841905051460328
2009-11,1.1928570865273802,-0.4928546201149102,-4.161219606275602,0.40000000000000036,2.7398974188114344,1.6161390396503075
2009-12,1.1928570865273802,-0.19743343037176175,-3.971466228656465,0.0,2.2536165022412913,4.2741478504470205
2010-01,1.1928570865273802,0.0,-3.68615933041582,0.0,2.2536165022412913,-0.9837442629406732
2010-02,1.5873349156290149,0.39447782910163465,-1.852807756104225,0.39999999999999947,2.2536165022412913,1.8319269727557868
2010-03,1.4888612493750655,0.29600416284768527,-1.3698844358161897,0.5,1.4258180627056158,-0.3455150921162126
2010-04,1.390290516899142,0.19743343037176175,-1.2739025777429758,0.1999999999999993,1.4258180627056158,1.015323869454136
2010-05,1.2916225266546328,-0.295712388974382,-1.177638732382517,-0.39999999999999947,1.4258180627056158,1.6813082237161567
2010-06,1.2916225266546328,-0.19723872272043264,-1.0800301350769714,-0.5,-1.1635554672747463,3.9541356288770264
2010-07,1.4888612493750655,0.09857073247592352,-0.49140148024290586,-0.39999999999999947,-1.1635554672747463,4.04483175045229
2010-08,1.5873349156290149,0.295712388974382,-0.09837679101327557,-0.10000000000000053,-1.1635554672747463,2.0415620104478296
2010-09,1.4888612493750655,0.19723872272043264,0.09857073247592352,-0.3000000000000007,-0.6779686985378803,2.1762797561663616
2010-10,1.4888612493750655,0.0,0.29600416284768527,-0.2999999999999998,-0.6779686985378803,5.057183197220449
2010-11,1.4888612493750655,-0.09847366625394938,0.29600416284768527,-0.20000000000000018,-0.6779686985378803,5.242703459304134
2010-12,1.2916225266546328,-0.19723872272043264,0.09876544012725263,-0.09999999999999964,2.067613283842722,3.9139326656071285
2011-01,1.390290516899142,-0.09857073247592352,0.19743343037176175,-0.10000000000000053,2.067613283842722,0.6762316092573921
2011-02,0.6975613736425241,-0.7912998757325413,-0.8897735419864907,-0.09999999999999964,2.067613283842722,-1.5267997033267457
2011-03,0.5982071677547464,-0.6934153588998865,-0.8906540816203191,0.09999999999999964,0.0,0.4190675034314587
2011-04,0.5982071677547464,-0.7920833491443956,-0.7920833491443956,-0.09999999999999964,0.0,0.7758651187271115
2011-05,0.49875415110390736,-0.19880722253861677,-0.7928683755507255,0.0,0.0,0.865190385720698
2011-06,0.49875415110390736,-0.099453016650839,-0.7928683755507255,-0.1999999999999993,-0.1301236357971897,2.6861607408867503
2011-07,0.49875415110390736,-0.099453016650839,-0.9901070982711582,0.0,-0.1301236357971897,2.6861607408867503
2011-08,0.49875415110390736,0.0,-1.0885807645251075,-0.40000000000000036,-0.1301236357971897,1.576678957043377
