sample,scope,model,block,h,metric,n,bias,rmse,mae
full,own_coverage,INDEPENDENT_BRIDGE,administered,1,monthly_error,89,-0.29721256699976506,3.918699583394084,1.1791919273822575
full,own_coverage,INDEPENDENT_BRIDGE,administered,2,monthly_error,88,-0.3122160799070893,3.9102291303322305,1.1627839200929107
full,own_coverage,INDEPENDENT_BRIDGE,administered,3,monthly_error,87,-0.5563218390804598,4.269142151843117,1.3080459770114943
full,own_coverage,INDEPENDENT_BRIDGE,administered,4,monthly_error,86,-0.5604651162790698,4.2938368487543785,1.3209302325581396
full,own_coverage,INDEPENDENT_BRIDGE,administered,5,monthly_error,85,-0.5647058823529412,4.318966379613911,1.3341176470588234
full,own_coverage,INDEPENDENT_BRIDGE,administered,6,monthly_error,84,-0.5720238095238096,4.34459502743132,1.3494047619047618
full,own_coverage,INDEPENDENT_BRIDGE,administered,7,monthly_error,83,-0.5789156626506023,4.370688925872784,1.3656626506024097
full,own_coverage,INDEPENDENT_BRIDGE,administered,8,monthly_error,82,-0.5847560975609757,4.397244841388975,1.3810975609756098
full,own_coverage,INDEPENDENT_BRIDGE,administered,9,monthly_error,81,-0.5919753086419755,4.424305065051683,1.3981481481481484
full,own_coverage,INDEPENDENT_BRIDGE,administered,10,monthly_error,80,-0.5943750000000001,4.4516464650733445,1.410625
full,own_coverage,INDEPENDENT_BRIDGE,administered,11,monthly_error,79,-0.599367088607595,4.479676327593323,1.4259493670886074
full,own_coverage,INDEPENDENT_BRIDGE,administered,12,monthly_error,78,-0.6,4.486796870134211,1.441025641025641
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,1,monthly_error,89,-0.09375976767636351,0.9151087081548865,0.7064418990063867
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,2,monthly_error,88,-0.09243359631060977,0.9200199895222763,0.7120780245875649
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,3,monthly_error,87,-0.11944520560952458,0.8930754397827444,0.6943136752989739
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,4,monthly_error,86,-0.10434465598226232,0.8851408980988508,0.685897642761124
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,5,monthly_error,85,-0.11239077560440047,0.8881102968193634,0.6871484913594961
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,6,monthly_error,84,-0.12502719857897188,0.8873593781390918,0.6840303929916378
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,7,monthly_error,83,-0.11492496473882036,0.886401982547673,0.680663137397422
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,8,monthly_error,82,-0.11431251284274753,0.8916039957478902,0.6869499315093809
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,9,monthly_error,81,-0.11715847006295475,0.8969979108660565,0.6939961032317925
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,10,monthly_error,80,-0.11758777124922368,0.9025392456786179,0.7016358748326719
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,11,monthly_error,79,-0.11818696508155217,0.908199163540445,0.7096280826344111
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,12,monthly_error,78,-0.10938875499241263,0.9029625159335822,0.7087103520562026
full,own_coverage,INDEPENDENT_BRIDGE,core,1,monthly_error,89,-0.057418293570689005,0.3615445618313899,0.28504494895202065
full,own_coverage,INDEPENDENT_BRIDGE,core,2,monthly_error,88,-0.04725702467113784,0.38852496980141293,0.2994451755320015
full,own_coverage,INDEPENDENT_BRIDGE,core,3,monthly_error,87,0.006807291665212433,0.43027066564713073,0.321630831614283
full,own_coverage,INDEPENDENT_BRIDGE,core,4,monthly_error,86,0.009622054192300196,0.4823040799767893,0.3404982386740755
full,own_coverage,INDEPENDENT_BRIDGE,core,5,monthly_error,85,-0.04844454986724789,0.4740511816151393,0.35509594661065025
full,own_coverage,INDEPENDENT_BRIDGE,core,6,monthly_error,84,-0.04575543531360288,0.6110169479304078,0.43945576685721366
full,own_coverage,INDEPENDENT_BRIDGE,core,7,monthly_error,83,-0.04763599539042982,0.6471518356352757,0.44603475635117557
full,own_coverage,INDEPENDENT_BRIDGE,core,8,monthly_error,82,-0.036480358039479605,0.5853894124416356,0.4319238973677317
full,own_coverage,INDEPENDENT_BRIDGE,core,9,monthly_error,81,-0.03276411617084293,0.6350834459691449,0.4593463415308803
full,own_coverage,INDEPENDENT_BRIDGE,core,10,monthly_error,80,-0.08951980279803094,0.5430614144766608,0.38596064442963646
full,own_coverage,INDEPENDENT_BRIDGE,core,11,monthly_error,79,-0.011420177617425638,0.5659205638396094,0.41665382874613416
full,own_coverage,INDEPENDENT_BRIDGE,core,12,monthly_error,78,-0.012275044059911058,0.6067474217625907,0.4669533995484287
full,own_coverage,INDEPENDENT_BRIDGE,food,1,monthly_error,88,-0.04581971123278508,1.0185886702563334,0.7906835850918607
full,own_coverage,INDEPENDENT_BRIDGE,food,2,monthly_error,86,0.055415478457449235,1.0664908610910522,0.8282837474376263
full,own_coverage,INDEPENDENT_BRIDGE,food,3,monthly_error,84,0.003839660469049106,1.111524169009489,0.8388656890689904
full,own_coverage,INDEPENDENT_BRIDGE,food,4,monthly_error,86,0.005049840987770899,1.1716164049310231,0.9159407221643373
full,own_coverage,INDEPENDENT_BRIDGE,food,5,monthly_error,85,0.009253414664492124,1.177868599486901,0.9225723315835233
full,own_coverage,INDEPENDENT_BRIDGE,food,6,monthly_error,84,0.009899446257296197,1.1848487999236734,0.933019463636529
full,own_coverage,INDEPENDENT_BRIDGE,food,7,monthly_error,83,0.013535154097631718,1.1915344780966923,0.9407442245900948
full,own_coverage,INDEPENDENT_BRIDGE,food,8,monthly_error,82,0.0018743277137334173,1.1939851987687071,0.940390825895129
full,own_coverage,INDEPENDENT_BRIDGE,food,9,monthly_error,81,0.007552084535866088,1.2002544367011965,0.9463459722039701
full,own_coverage,INDEPENDENT_BRIDGE,food,10,monthly_error,80,0.021338795914759446,1.2015073856512182,0.9444829865343248
full,own_coverage,INDEPENDENT_BRIDGE,food,11,monthly_error,79,0.025753611933435373,1.2085266075100627,0.9522937626985485
full,own_coverage,INDEPENDENT_BRIDGE,food,12,monthly_error,78,-0.016226486420288653,1.1909817233705209,0.9162675239265763
full,own_coverage,INDEPENDENT_BRIDGE,fuel,1,monthly_error,89,-0.07544155311716123,4.753540302695752,3.0302982127488405
full,own_coverage,INDEPENDENT_BRIDGE,fuel,2,monthly_error,88,-0.05742009664373617,4.777191221390897,3.0458546728621387
