sample,scope,model,block,h,n,n_roster,headline_rmse,oracle_rmse,block_marginal_rmse,annual_error_mean,annual_block_error_mean,annual_other_error_mean,block_squared_error_mean,other_squared_error_mean,cross_term_mean,headline_squared_error_mean,oracle_mse_gain_mean
full,own_coverage,INDEPENDENT_BRIDGE,administered,1,88,90,0.9107373045382808,0.710810185684793,0.6682954425063998,-0.11911212254514575,-0.0496539400688235,-0.06945818247632227,0.44661879847482483,0.5052511200732499,-0.12242748067042118,0.8294424378776534,0.32419131780440363
full,own_coverage,INDEPENDENT_BRIDGE,administered,2,86,90,1.2945851997901525,0.9842629203384342,0.915198430964408,-0.19975388785801595,-0.10186671726548968,-0.09788717059252633,0.8375881680397144,0.9687734963531429,-0.13041082487714864,1.675950839515709,0.7071773431625661
full,own_coverage,INDEPENDENT_BRIDGE,administered,3,84,90,1.537322045729783,1.2435890668475342,1.150927277305442,-0.3006623316620666,-0.1922626052097169,-0.10839972645234966,1.3246335976457178,1.546513767182721,-0.5077882925416342,2.3633590722868045,0.8168453051040839
full,own_coverage,INDEPENDENT_BRIDGE,administered,4,83,90,1.8237299080241303,1.5328879458352331,1.2186091652050322,-0.4035375617940799,-0.2813956760190916,-0.12214188577498832,1.4850082975217052,2.3497454544869605,-0.5087629745869627,3.3259907774217026,0.9762453229347422
full,own_coverage,INDEPENDENT_BRIDGE,administered,5,82,90,2.1684759425885596,1.8661721611355298,1.3249119174373611,-0.5459131715251515,-0.3733409368716523,-0.17257223465349916,1.7553915889675447,3.4825985349972535,-0.5357022103794559,4.702287913585343,1.2196893785880887
full,own_coverage,INDEPENDENT_BRIDGE,administered,6,81,90,2.516379371214503,2.3299703237704845,1.444774272758641,-0.6833580329573764,-0.4719142377880179,-0.21144379516935863,2.0873726992252597,5.428761709651137,-1.183969269002499,6.332165139873897,0.9034034302227604
full,own_coverage,INDEPENDENT_BRIDGE,administered,7,80,90,2.9913320570711575,2.806587687982159,1.5569700670885651,-0.8248089756541122,-0.5708823976183015,-0.2539265780358107,2.424155789809771,7.876934450333041,-1.3530227644812505,8.948067475661563,1.0711330253285205
full,own_coverage,INDEPENDENT_BRIDGE,administered,8,79,90,3.333292762520484,3.2252170226366537,1.683286622234546,-0.9649227576127072,-0.678897658979475,-0.2860250986332321,2.8334538525937867,10.402024843105242,-2.124638055027593,11.110840640671437,0.7088157975661941
full,own_coverage,INDEPENDENT_BRIDGE,administered,9,78,90,3.9216066990467007,3.709600677917556,1.7805983895245772,-1.1028651078373797,-0.780812873084418,-0.32205223475296185,3.1705306247775176,13.761137189606389,-1.5526687123759428,15.378999102007961,1.617861912401574
full,own_coverage,INDEPENDENT_BRIDGE,administered,10,77,90,4.498759705784156,4.148494695571503,1.9054136203435827,-1.2791015441879716,-0.8862107085165771,-0.39289083567139466,3.630601064590839,17.210008239184894,-0.6017704133885836,20.23883889038715,3.028830651202254
full,own_coverage,INDEPENDENT_BRIDGE,administered,11,76,90,5.002024433226822,4.573575216938662,2.038581993954296,-1.4233545170754647,-0.9918676971262377,-0.4314868199492274,4.155816546074672,20.91759026499553,-0.05315838047208383,25.020248430598112,4.102658165602588
full,own_coverage,INDEPENDENT_BRIDGE,administered,12,75,90,5.394838562659049,4.874505072483744,2.1406240806178185,-1.5635949494163677,-1.1013698637612428,-0.4622250856551248,4.58227145452088,23.76079970166975,0.7612119609625202,29.104283117153155,5.343483415483402
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,1,88,90,0.9107373045382808,0.8976950627776251,0.0833938666109997,-0.11911212254514575,-0.008455728182023154,-0.11065639436312265,0.006954536988333212,0.8058564257353243,0.0166314751539959,0.8294424378776534,0.023586012142329117
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,2,86,90,1.2945851997901525,1.272267338859672,0.1029216916154619,-0.19975388785801595,-0.02130875927169651,-0.17844512858631953,0.01059287460498824,1.6186641815290712,0.04669378338164949,1.675950839515709,0.057286657986637714
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,3,84,90,1.537322045729783,1.5197349864288148,0.11556186266785609,-0.3006623316620666,-0.03297902142126066,-0.2676833102408059,0.013354544103264431,2.3095944289757897,0.040410099207751335,2.3633590722868045,0.0537646433110157
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,4,83,90,1.8237299080241303,1.8106865687859632,0.1297730929244542,-0.4035375617940799,-0.045486307594518764,-0.3580512541995612,0.016841055647179023,3.278585850381885,0.030563871392639157,3.3259907774217026,0.04740492703981814
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,5,82,90,2.1684759425885596,2.154074151813718,0.1443101945428934,-0.5459131715251515,-0.05725695766361431,-0.48865621386153724,0.02082543224900774,4.640035451511989,0.04142702982434562,4.702287913585343,0.06225246207335345
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,6,81,90,2.516379371214503,2.4966264288031326,0.16467573031236427,-0.6833580329573764,-0.0704351010878136,-0.6129229318695629,0.027118096153910524,6.233143524998282,0.07190351872170389,6.332165139873897,0.0990216148756145
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,7,80,90,2.9913320570711575,2.9600667919505033,0.1827572281909238,-0.8248089756541122,-0.08471279846528047,-0.7400961771888317,0.03340020445602939,8.761995412808144,0.15267185839738856,8.948067475661563,0.18607206285341799
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,8,79,90,3.333292762520484,3.294594666519285,0.2017942542542949,-0.9649227576127072,-0.09759672638910656,-0.8673260312236002,0.040720921050047015,10.85435401665732,0.21576570296406875,11.110840640671437,0.25648662401411526
