clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,included,actual_complete,missing_models,n_models_available,reason
cutoff,2022-02-10,2022-01-21,2022Q3,3,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-02-10,2022-01-21,2022Q4,4,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-02-10,2022-01-21,2023Q1,5,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-02-10,2022-01-21,2023Q2,6,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-02-10,2022-01-21,2023Q3,7,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-02-10,2022-01-21,2023Q4,8,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-05-12,2022-04-22,2022Q2,1,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-05-12,2022-04-22,2022Q3,2,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-05-12,2022-04-22,2022Q4,3,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-05-12,2022-04-22,2023Q1,4,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-05-12,2022-04-22,2023Q2,5,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-05-12,2022-04-22,2023Q3,6,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-05-12,2022-04-22,2023Q4,7,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-05-12,2022-04-22,2022Q2,1,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-05-12,2022-04-22,2022Q3,2,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-05-12,2022-04-22,2022Q4,3,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-05-12,2022-04-22,2023Q1,4,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-05-12,2022-04-22,2023Q2,5,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-05-12,2022-04-22,2023Q3,6,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-05-12,2022-04-22,2023Q4,7,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-08-11,2022-07-22,2022Q3,1,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-08-11,2022-07-22,2022Q4,2,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-08-11,2022-07-22,2023Q1,3,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-08-11,2022-07-22,2023Q2,4,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-08-11,2022-07-22,2023Q3,5,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-08-11,2022-07-22,2023Q4,6,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-08-11,2022-07-22,2024Q1,7,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-08-11,2022-07-22,2024Q2,8,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-08-11,2022-07-22,2024Q3,9,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-08-11,2022-07-22,2024Q4,10,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-08-11,2022-07-22,2022Q3,1,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-08-11,2022-07-22,2022Q4,2,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-08-11,2022-07-22,2023Q1,3,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-08-11,2022-07-22,2023Q2,4,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-08-11,2022-07-22,2023Q3,5,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-08-11,2022-07-22,2023Q4,6,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-08-11,2022-07-22,2024Q1,7,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-08-11,2022-07-22,2024Q2,8,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-08-11,2022-07-22,2024Q3,9,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
cutoff,2022-08-11,2022-07-22,2024Q4,10,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-11-10,2022-10-21,2022Q4,1,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
report,2022-11-10,2022-10-21,2023Q1,2,2019-03,2019-04-09 21:59:00+00:00,False,True,INDEPENDENT_BRIDGE|STABLE_PIPELINE_R14B|STABLE_LOCAL_CORE_R14B|STATE_SLOW_R15|STATE_MID_R15|STATE_FAST_R15|STATE_ADAPT_R15|ENET_DOMESTIC_R15|ENET_IMPORTED_R15|ENET_BOTH_R15|ENET_WIDE_R15|RF_RESIDUAL_R15|BLEND_LINEAR_RF_R15|BLEND_WIDE_STATE_R15,0,incomplete_model_quarter
