scope,sample,model,band,n,actual_material_n,sign_match_rate_on_material_actual,material_direction_hit_rate,material_calls_n,wrong_way_n
paired_ENET_IMPORTED_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2,2,1,0.0,0.0,0,0
paired_ENET_IMPORTED_R15,origins_2019_2021,ENET_IMPORTED_R15,3,2,1,0.0,0.0,2,1
paired_ENET_IMPORTED_R15,origins_2019_2021,STABLE_PIPELINE_R14B,3,2,1,0.0,0.0,1,1
paired_ENET_IMPORTED_R15,origins_2019_2021,ENET_IMPORTED_R15,4,2,2,0.0,0.0,0,0
paired_ENET_IMPORTED_R15,origins_2019_2021,STABLE_PIPELINE_R14B,4,2,2,1.0,0.5,1,0
paired_ENET_BOTH_R15,full,ENET_BOTH_R15,2,2,1,0.0,0.0,1,1
paired_ENET_BOTH_R15,full,STABLE_PIPELINE_R14B,2,2,1,0.0,0.0,0,0
paired_ENET_BOTH_R15,full,ENET_BOTH_R15,3,2,1,0.0,0.0,2,1
paired_ENET_BOTH_R15,full,STABLE_PIPELINE_R14B,3,2,1,0.0,0.0,1,1
paired_ENET_BOTH_R15,full,ENET_BOTH_R15,4,2,2,1.0,0.5,1,0
paired_ENET_BOTH_R15,full,STABLE_PIPELINE_R14B,4,2,2,1.0,0.5,1,0
paired_ENET_BOTH_R15,origins_2019_2021,ENET_BOTH_R15,2,2,1,0.0,0.0,1,1
paired_ENET_BOTH_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2,2,1,0.0,0.0,0,0
paired_ENET_BOTH_R15,origins_2019_2021,ENET_BOTH_R15,3,2,1,0.0,0.0,2,1
paired_ENET_BOTH_R15,origins_2019_2021,STABLE_PIPELINE_R14B,3,2,1,0.0,0.0,1,1
paired_ENET_BOTH_R15,origins_2019_2021,ENET_BOTH_R15,4,2,2,1.0,0.5,1,0
paired_ENET_BOTH_R15,origins_2019_2021,STABLE_PIPELINE_R14B,4,2,2,1.0,0.5,1,0
paired_ENET_WIDE_R15,full,ENET_WIDE_R15,2,2,1,1.0,1.0,2,0
paired_ENET_WIDE_R15,full,STABLE_PIPELINE_R14B,2,2,1,0.0,0.0,0,0
paired_ENET_WIDE_R15,full,ENET_WIDE_R15,3,2,1,0.0,0.0,0,0
paired_ENET_WIDE_R15,full,STABLE_PIPELINE_R14B,3,2,1,0.0,0.0,1,1
paired_ENET_WIDE_R15,full,ENET_WIDE_R15,4,2,2,0.0,0.0,0,0
paired_ENET_WIDE_R15,full,STABLE_PIPELINE_R14B,4,2,2,1.0,0.5,1,0
paired_ENET_WIDE_R15,origins_2019_2021,ENET_WIDE_R15,2,2,1,1.0,1.0,2,0
paired_ENET_WIDE_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2,2,1,0.0,0.0,0,0
paired_ENET_WIDE_R15,origins_2019_2021,ENET_WIDE_R15,3,2,1,0.0,0.0,0,0
paired_ENET_WIDE_R15,origins_2019_2021,STABLE_PIPELINE_R14B,3,2,1,0.0,0.0,1,1
paired_ENET_WIDE_R15,origins_2019_2021,ENET_WIDE_R15,4,2,2,0.0,0.0,0,0
paired_ENET_WIDE_R15,origins_2019_2021,STABLE_PIPELINE_R14B,4,2,2,1.0,0.5,1,0
paired_RF_RESIDUAL_R15,full,RF_RESIDUAL_R15,2,2,1,0.0,0.0,1,1
paired_RF_RESIDUAL_R15,full,STABLE_PIPELINE_R14B,2,2,1,0.0,0.0,0,0
paired_RF_RESIDUAL_R15,full,RF_RESIDUAL_R15,3,2,1,0.0,0.0,1,1
paired_RF_RESIDUAL_R15,full,STABLE_PIPELINE_R14B,3,2,1,0.0,0.0,1,1
paired_RF_RESIDUAL_R15,full,RF_RESIDUAL_R15,4,2,2,1.0,0.0,0,0
paired_RF_RESIDUAL_R15,full,STABLE_PIPELINE_R14B,4,2,2,1.0,0.5,1,0
paired_RF_RESIDUAL_R15,origins_2019_2021,RF_RESIDUAL_R15,2,2,1,0.0,0.0,1,1
paired_RF_RESIDUAL_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2,2,1,0.0,0.0,0,0
paired_RF_RESIDUAL_R15,origins_2019_2021,RF_RESIDUAL_R15,3,2,1,0.0,0.0,1,1
paired_RF_RESIDUAL_R15,origins_2019_2021,STABLE_PIPELINE_R14B,3,2,1,0.0,0.0,1,1
paired_RF_RESIDUAL_R15,origins_2019_2021,RF_RESIDUAL_R15,4,2,2,1.0,0.0,0,0
paired_RF_RESIDUAL_R15,origins_2019_2021,STABLE_PIPELINE_R14B,4,2,2,1.0,0.5,1,0
paired_BLEND_LINEAR_RF_R15,full,BLEND_LINEAR_RF_R15,2,2,1,0.0,0.0,1,1
paired_BLEND_LINEAR_RF_R15,full,STABLE_PIPELINE_R14B,2,2,1,0.0,0.0,0,0
paired_BLEND_LINEAR_RF_R15,full,BLEND_LINEAR_RF_R15,3,2,1,0.0,0.0,2,1
paired_BLEND_LINEAR_RF_R15,full,STABLE_PIPELINE_R14B,3,2,1,0.0,0.0,1,1
paired_BLEND_LINEAR_RF_R15,full,BLEND_LINEAR_RF_R15,4,2,2,1.0,0.0,0,0
paired_BLEND_LINEAR_RF_R15,full,STABLE_PIPELINE_R14B,4,2,2,1.0,0.5,1,0
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,BLEND_LINEAR_RF_R15,2,2,1,0.0,0.0,1,1
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2,2,1,0.0,0.0,0,0
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,BLEND_LINEAR_RF_R15,3,2,1,0.0,0.0,2,1
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,STABLE_PIPELINE_R14B,3,2,1,0.0,0.0,1,1
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,BLEND_LINEAR_RF_R15,4,2,2,1.0,0.0,0,0
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,STABLE_PIPELINE_R14B,4,2,2,1.0,0.5,1,0
paired_BLEND_WIDE_STATE_R15,full,BLEND_WIDE_STATE_R15,2,2,1,1.0,1.0,2,0
paired_BLEND_WIDE_STATE_R15,full,STABLE_PIPELINE_R14B,2,2,1,0.0,0.0,0,0
paired_BLEND_WIDE_STATE_R15,full,BLEND_WIDE_STATE_R15,3,2,1,0.0,0.0,0,0
paired_BLEND_WIDE_STATE_R15,full,STABLE_PIPELINE_R14B,3,2,1,0.0,0.0,1,1
paired_BLEND_WIDE_STATE_R15,full,BLEND_WIDE_STATE_R15,4,2,2,0.0,0.0,0,0
paired_BLEND_WIDE_STATE_R15,full,STABLE_PIPELINE_R14B,4,2,2,1.0,0.5,1,0
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,BLEND_WIDE_STATE_R15,2,2,1,1.0,1.0,2,0
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2,2,1,0.0,0.0,0,0
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,BLEND_WIDE_STATE_R15,3,2,1,0.0,0.0,0,0
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,STABLE_PIPELINE_R14B,3,2,1,0.0,0.0,1,1
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,BLEND_WIDE_STATE_R15,4,2,2,0.0,0.0,0,0
paired_BLEND_WIDE_STATE_R15,origins_2019_2021,STABLE_PIPELINE_R14B,4,2,2,1.0,0.5,1,0
