sample,model,h,metric,n_intended,n_rows_present,n_forecasts,n_actuals,n_scoreable
full,ENET_BOTH_R15,2,headline_mm,2,2,2,2,2
full,ENET_BOTH_R15,2,headline_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,2,core_mm,2,2,2,2,2
full,ENET_BOTH_R15,2,core_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,3,headline_yy,2,2,2,2,2
full,ENET_BOTH_R15,3,headline_mm,2,2,2,2,2
full,ENET_BOTH_R15,3,headline_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,3,core_mm,2,2,2,2,2
full,ENET_BOTH_R15,3,core_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,4,headline_yy,2,2,2,2,2
full,ENET_BOTH_R15,4,headline_mm,2,2,2,2,2
full,ENET_BOTH_R15,4,headline_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,4,core_mm,2,2,2,2,2
full,ENET_BOTH_R15,4,core_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,5,headline_yy,2,2,2,2,2
full,ENET_BOTH_R15,5,headline_mm,2,2,2,2,2
full,ENET_BOTH_R15,5,headline_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,5,core_mm,2,2,2,2,2
full,ENET_BOTH_R15,5,core_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,6,headline_yy,2,2,2,2,2
full,ENET_BOTH_R15,6,headline_mm,2,2,2,2,2
full,ENET_BOTH_R15,6,headline_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,6,core_mm,2,2,2,2,2
full,ENET_BOTH_R15,6,core_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,7,headline_yy,2,2,2,2,2
full,ENET_BOTH_R15,7,headline_mm,2,2,2,2,2
full,ENET_BOTH_R15,7,headline_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,7,core_mm,2,2,2,2,2
full,ENET_BOTH_R15,7,core_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,8,headline_yy,2,2,2,2,2
full,ENET_BOTH_R15,8,headline_mm,2,2,2,2,2
full,ENET_BOTH_R15,8,headline_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,8,core_mm,2,2,2,2,2
full,ENET_BOTH_R15,8,core_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,9,headline_yy,2,2,2,2,2
full,ENET_BOTH_R15,9,headline_mm,2,2,2,2,2
full,ENET_BOTH_R15,9,headline_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,9,core_mm,2,2,2,2,2
full,ENET_BOTH_R15,9,core_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,10,headline_yy,2,2,2,2,2
full,ENET_BOTH_R15,10,headline_mm,2,2,2,2,2
full,ENET_BOTH_R15,10,headline_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,10,core_mm,2,2,2,2,2
full,ENET_BOTH_R15,10,core_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,11,headline_yy,2,2,2,2,2
full,ENET_BOTH_R15,11,headline_mm,2,2,2,2,2
full,ENET_BOTH_R15,11,headline_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,11,core_mm,2,2,2,2,2
full,ENET_BOTH_R15,11,core_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,12,headline_yy,2,2,2,2,2
full,ENET_BOTH_R15,12,headline_mm,2,2,2,2,2
full,ENET_BOTH_R15,12,headline_cumulative_log,2,2,2,2,2
full,ENET_BOTH_R15,12,core_mm,2,2,2,2,2
full,ENET_BOTH_R15,12,core_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,0,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,0,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,0,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,0,core_mm,2,2,0,2,0
full,ENET_DOMESTIC_R15,0,core_cumulative_log,2,2,0,0,0
full,ENET_DOMESTIC_R15,1,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,1,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,1,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,1,core_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,1,core_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,2,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,2,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,2,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,2,core_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,2,core_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,3,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,3,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,3,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,3,core_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,3,core_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,4,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,4,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,4,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,4,core_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,4,core_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,5,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,5,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,5,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,5,core_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,5,core_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,6,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,6,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,6,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,6,core_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,6,core_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,7,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,7,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,7,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,7,core_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,7,core_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,8,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,8,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,8,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,8,core_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,8,core_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,9,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,9,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,9,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,9,core_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,9,core_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,10,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,10,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,10,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,10,core_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,10,core_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,11,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,11,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,11,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,11,core_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,11,core_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,12,headline_yy,2,2,2,2,2
full,ENET_DOMESTIC_R15,12,headline_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,12,headline_cumulative_log,2,2,2,2,2
full,ENET_DOMESTIC_R15,12,core_mm,2,2,2,2,2
full,ENET_DOMESTIC_R15,12,core_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,0,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,0,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,0,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,0,core_mm,2,2,0,2,0
full,ENET_IMPORTED_R15,0,core_cumulative_log,2,2,0,0,0
full,ENET_IMPORTED_R15,1,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,1,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,1,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,1,core_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,1,core_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,2,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,2,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,2,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,2,core_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,2,core_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,3,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,3,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,3,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,3,core_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,3,core_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,4,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,4,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,4,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,4,core_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,4,core_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,5,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,5,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,5,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,5,core_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,5,core_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,6,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,6,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,6,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,6,core_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,6,core_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,7,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,7,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,7,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,7,core_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,7,core_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,8,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,8,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,8,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,8,core_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,8,core_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,9,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,9,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,9,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,9,core_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,9,core_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,10,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,10,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,10,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,10,core_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,10,core_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,11,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,11,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,11,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,11,core_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,11,core_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,12,headline_yy,2,2,2,2,2
full,ENET_IMPORTED_R15,12,headline_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,12,headline_cumulative_log,2,2,2,2,2
full,ENET_IMPORTED_R15,12,core_mm,2,2,2,2,2
full,ENET_IMPORTED_R15,12,core_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,0,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,0,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,0,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,0,core_mm,2,2,0,2,0
full,ENET_WIDE_R15,0,core_cumulative_log,2,2,0,0,0
full,ENET_WIDE_R15,1,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,1,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,1,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,1,core_mm,2,2,2,2,2
full,ENET_WIDE_R15,1,core_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,2,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,2,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,2,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,2,core_mm,2,2,2,2,2
full,ENET_WIDE_R15,2,core_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,3,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,3,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,3,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,3,core_mm,2,2,2,2,2
full,ENET_WIDE_R15,3,core_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,4,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,4,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,4,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,4,core_mm,2,2,2,2,2
full,ENET_WIDE_R15,4,core_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,5,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,5,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,5,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,5,core_mm,2,2,2,2,2
full,ENET_WIDE_R15,5,core_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,6,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,6,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,6,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,6,core_mm,2,2,2,2,2
full,ENET_WIDE_R15,6,core_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,7,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,7,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,7,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,7,core_mm,2,2,2,2,2
full,ENET_WIDE_R15,7,core_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,8,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,8,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,8,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,8,core_mm,2,2,2,2,2
full,ENET_WIDE_R15,8,core_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,9,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,9,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,9,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,9,core_mm,2,2,2,2,2
full,ENET_WIDE_R15,9,core_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,10,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,10,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,10,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,10,core_mm,2,2,2,2,2
full,ENET_WIDE_R15,10,core_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,11,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,11,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,11,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,11,core_mm,2,2,2,2,2
full,ENET_WIDE_R15,11,core_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,12,headline_yy,2,2,2,2,2
full,ENET_WIDE_R15,12,headline_mm,2,2,2,2,2
full,ENET_WIDE_R15,12,headline_cumulative_log,2,2,2,2,2
full,ENET_WIDE_R15,12,core_mm,2,2,2,2,2
