origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual
2019-03,12,2020-03,2019-04-09T21:59:00+00:00,FOOD_ASYMMETRIC_R17,0.03274553229699297,-0.0898472596585708,3.4418604651162905,2.79626923334142,2.757887486995989,3.3839534248764616
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,0.0994602395416571,0.1863932898415576,2.969348659003822,2.8800008017511463,0.0,0.0
2019-03,1,2019-04,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,0.40433233586319006,0.0930232558139509,2.769818529130847,3.000000898054076,0.40351710941798424,0.09298001599665273
2019-03,2,2019-05,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,0.2758706966781265,0.6505576208178487,2.9467680608364977,2.7932534799060633,0.6790079812795721,0.7414306439227463
2019-03,3,2019-06,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,0.2036639564536042,0.1846722068328699,2.7462121212121224,2.612444899460211,0.8824648238605808,0.925932541279676
2019-03,4,2019-07,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,0.2868631561255376,0.3686635944700533,2.9300567107750517,2.7122713804679135,1.168917312815487,1.2939182371197377
2019-03,5,2019-08,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,0.07200878945811044,0.0918273645546419,2.9272898961284195,2.689173533379898,1.2409001883842405,1.3857034661426337
2019-03,6,2019-09,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,-0.07039112344690873,-0.5504587155963248,2.6515151515151705,2.908414724648899,1.1704842787538334,0.8337241437828525
2019-03,7,2019-10,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,0.35105246521987277,0.4612546125461358,2.735849056603792,2.879980356169935,1.520921993118936,1.293918237119758
2019-03,8,2019-11,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,0.10537034294125257,0.2754820936639035,3.116147308781873,3.085635944236513,1.6262368604807829,1.5690215743087381
2019-03,9,2019-12,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,0.19166541275058477,0.1831501831501825,3.207547169811327,3.185778458144416,1.817718829440609,1.752004242016354
2019-03,10,2020-01,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,0.8748350078249008,1.4625228519195457,3.6414565826330487,3.019414376717544,2.688749328492791,3.2039353744616688
2019-03,11,2020-02,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,0.30591925457726005,0.2702702702702675,3.7278657968313063,3.141961895561334,2.9942016022655094,3.473841071378167
2019-03,12,2020-03,2019-04-09T21:59:00+00:00,FOOD_HALF_CORRECTION_R17,0.07637025583391766,-0.0898472596585708,3.4418604651162905,3.118170096743902,3.0705427108584837,3.3839534248764616
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.09055862604945425,0.1863932898415576,2.969348659003822,3.0053754316371775,0.09051764646419452,0.18621979310646208
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.31387616830354415,0.0930232558139509,2.769818529130847,3.0326140272253976,0.4039022518532269,0.2791998091031148
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.25170817441997406,0.6505576208178487,2.9467680608364977,2.801024191431436,0.6552941718288768,0.9276504370292084
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.18017448720095988,0.1846722068328699,2.7462121212121224,2.596145995175366,0.8353065395034529,1.112152334386138
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.34608913136908975,0.3686635944700533,2.9300567107750517,2.7566053228597793,1.1807981606533653,1.4801380302261997
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.057882842874308324,0.0918273645546419,2.9272898961284195,2.718995869464546,1.238664257871774,1.571923259249096
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,STATE_FAST_R15,-0.07826855952889304,-0.5504587155963248,2.6515151515151705,2.9301861205549753,1.1603650525140845,1.019943936889315
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.33222624189734584,0.4612546125461358,2.735849056603792,2.882440993795638,1.4920406423025514,1.4801380302262204
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.09037032029517136,0.2754820936639035,3.116147308781873,3.0726545385875057,1.5823701532083048,1.7552413674152
2019-02,10,2019-12,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.1647465912624387,0.1831501831501825,3.207547169811327,3.145064673252726,1.7469811861388123,1.938224035122816
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.8680841953446873,1.4625228519195457,3.6414565826330487,2.971874620575959,2.6113191950561263,3.3901551675681305
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.3448780342643371,0.2702702702702675,3.7278657968313063,2.999715375016489,2.9556038888371874,3.660060864484629
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,STATE_FAST_R15,0.0994602395416571,0.1863932898415576,2.969348659003822,2.8800008017511463,0.0,0.0
2019-03,1,2019-04,2019-04-09T21:59:00+00:00,STATE_FAST_R15,0.3442600404465341,0.0930232558139509,2.769818529130847,2.9383756042254587,0.3436688220664942,0.09298001599665273
2019-03,2,2019-05,2019-04-09T21:59:00+00:00,STATE_FAST_R15,0.23246157501103976,0.6505576208178487,2.9467680608364977,2.6872796186290566,0.5758606231578299,0.7414306439227463
2019-03,3,2019-06,2019-04-09T21:59:00+00:00,STATE_FAST_R15,0.16083372477910707,0.1846722068328699,2.7462121212121224,2.46284283699846,0.7365651490135483,0.925932541279676
2019-03,4,2019-07,2019-04-09T21:59:00+00:00,STATE_FAST_R15,0.3252186420307566,0.3686635944700533,2.9300567107750517,2.6017496075901287,1.0612560990110602,1.2939182371197377
2019-03,5,2019-08,2019-04-09T21:59:00+00:00,STATE_FAST_R15,0.035637665023952575,0.0918273645546419,2.9272898961284195,2.541394442869287,1.0968874153274804,1.3857034661426337
2019-03,6,2019-09,2019-04-09T21:59:00+00:00,STATE_FAST_R15,-0.10347967889885837,-0.5504587155963248,2.6515151515151705,2.726294269369255,0.9933541592447094,0.8337241437828525
2019-03,7,2019-10,2019-04-09T21:59:00+00:00,STATE_FAST_R15,0.3096879632396604,0.4612546125461358,2.735849056603792,2.6555783501138084,1.3025635770553312,1.293918237119758
2019-03,8,2019-11,2019-04-09T21:59:00+00:00,STATE_FAST_R15,0.06696959852272216,0.2754820936639035,3.116147308781873,2.821327631278391,1.3695107609491883,1.5690215743087381
2019-03,9,2019-12,2019-04-09T21:59:00+00:00,STATE_FAST_R15,0.14193007298556803,0.1831501831501825,3.207547169811327,2.8701230901994137,1.5113402084073384,1.752004242016354
2019-03,10,2020-01,2019-04-09T21:59:00+00:00,STATE_FAST_R15,0.8423227053180146,1.4625228519195457,3.6414565826330487,2.6711659977734494,2.350135172161468,3.2039353744616688
2019-03,11,2020-02,2019-04-09T21:59:00+00:00,STATE_FAST_R15,0.3012444419034991,0.2702702702702675,3.7278657968313063,2.7885085167498462,2.650926782188719,3.473841071378167
2019-03,12,2020-03,2019-04-09T21:59:00+00:00,STATE_FAST_R15,0.042907053292615766,-0.0898472596585708,3.4418604651162905,2.7304360990515075,2.6938246330374604,3.3839534248764616
