origin,target,h,model,pressure_family,core_mm_forecast,pressure_mm_forecast,statistical_remainder_forecast,definition,core_mm_actual,pressure_mm_actual,statistical_remainder_actual
2019-02,2019-03,1,MONTHLY_OWN_CORE_R17,persistence,0.14880525838905015,-0.16750879817824257,0.3163140565672927,Statistical difference; not an uncovered core component,-0.1,-0.678834986678668,0.5788349866786681
2019-02,2019-04,2,MONTHLY_OWN_CORE_R17,persistence,0.5606023739562346,0.30830963176043175,0.25229274219580283,Statistical difference; not an uncovered core component,0.4,0.2715030685521296,0.12849693144787044
2019-02,2019-05,3,MONTHLY_OWN_CORE_R17,persistence,0.2148978052380824,0.5203508121478253,-0.30545300690974286,Statistical difference; not an uncovered core component,0.1,0.29322965252765076,-0.19322965252765076
2019-02,2019-06,4,MONTHLY_OWN_CORE_R17,persistence,0.3087022370007224,0.6340261158867742,-0.32532387888605174,Statistical difference; not an uncovered core component,0.3,1.0017777406823867,-0.7017777406823866
2019-02,2019-07,5,MONTHLY_OWN_CORE_R17,persistence,0.5884055072879422,1.7696171351334036,-1.1812116278454614,Statistical difference; not an uncovered core component,1.0,2.5004230778327496,-1.5004230778327496
2019-02,2019-08,6,MONTHLY_OWN_CORE_R17,persistence,0.224012697425426,0.6463553254538893,-0.4223426280284633,Statistical difference; not an uncovered core component,0.2,0.5928551557428805,-0.3928551557428805
2019-02,2019-09,7,MONTHLY_OWN_CORE_R17,persistence,-0.34081551097108503,-0.9858211244264843,0.6450056134553992,Statistical difference; not an uncovered core component,-0.9,-1.8000364743388608,0.9000364743388608
2019-02,2019-10,8,MONTHLY_OWN_CORE_R17,persistence,0.5208216340814804,0.4108153498464347,0.11000628423504571,Statistical difference; not an uncovered core component,0.6,0.32536972586285523,0.27463027413714475
2019-02,2019-11,9,MONTHLY_OWN_CORE_R17,persistence,0.11469216574984452,0.16606281156898112,-0.0513706458191366,Statistical difference; not an uncovered core component,0.0,0.25235423080188474,-0.25235423080188474
2019-02,2019-12,10,MONTHLY_OWN_CORE_R17,persistence,0.18984892926841582,0.5623418634404714,-0.37249293417205565,Statistical difference; not an uncovered core component,0.1,0.2868928212564511,-0.1868928212564511
2019-02,2020-01,11,MONTHLY_OWN_CORE_R17,persistence,0.38584177361331706,1.2106639018775485,-0.8248221282642314,Statistical difference; not an uncovered core component,0.8,1.376069203580964,-0.576069203580964
2019-02,2020-02,12,MONTHLY_OWN_CORE_R17,persistence,0.35293221936071306,0.6661634381288436,-0.31323121876813054,Statistical difference; not an uncovered core component,0.7,0.609001605471797,0.09099839452820291
2019-02,2019-03,1,MONTHLY_AR_CORE_R17,ar,0.15260439537057213,-0.1727691693342145,0.3253735647047866,Statistical difference; not an uncovered core component,-0.1,-0.678834986678668,0.5788349866786681
2019-02,2019-04,2,MONTHLY_AR_CORE_R17,ar,0.562252449740052,0.285002474868424,0.27724997487162795,Statistical difference; not an uncovered core component,0.4,0.2715030685521296,0.12849693144787044
2019-02,2019-05,3,MONTHLY_AR_CORE_R17,ar,0.218274626073965,0.4719704400697293,-0.25369581399576435,Statistical difference; not an uncovered core component,0.1,0.29322965252765076,-0.19322965252765076
2019-02,2019-06,4,MONTHLY_AR_CORE_R17,ar,0.31647769191540953,0.5818273760035902,-0.2653496840881807,Statistical difference; not an uncovered core component,0.3,1.0017777406823867,-0.7017777406823866
2019-02,2019-07,5,MONTHLY_AR_CORE_R17,ar,0.5928383038423005,1.5887002537614197,-0.9958619499191191,Statistical difference; not an uncovered core component,1.0,2.5004230778327496,-1.5004230778327496
2019-02,2019-08,6,MONTHLY_AR_CORE_R17,ar,0.224012697425426,0.576122454297071,-0.352109756871645,Statistical difference; not an uncovered core component,0.2,0.5928551557428805,-0.3928551557428805
2019-02,2019-09,7,MONTHLY_AR_CORE_R17,ar,-0.34081551097108503,-1.1030894638828765,0.7622739529117915,Statistical difference; not an uncovered core component,-0.9,-1.8000364743388608,0.9000364743388608
2019-02,2019-10,8,MONTHLY_AR_CORE_R17,ar,0.5208216340814804,0.3468100128613541,0.1740116212201263,Statistical difference; not an uncovered core component,0.6,0.32536972586285523,0.27463027413714475
2019-02,2019-11,9,MONTHLY_AR_CORE_R17,ar,0.11469216574984452,0.036134052817642794,0.07855811293220172,Statistical difference; not an uncovered core component,0.0,0.25235423080188474,-0.25235423080188474
2019-02,2019-12,10,MONTHLY_AR_CORE_R17,ar,0.18984892926841582,0.49098022766410515,-0.3011312983956893,Statistical difference; not an uncovered core component,0.1,0.2868928212564511,-0.1868928212564511
2019-02,2020-01,11,MONTHLY_AR_CORE_R17,ar,0.38584177361331706,1.0534523065720958,-0.6676105329587787,Statistical difference; not an uncovered core component,0.8,1.376069203580964,-0.576069203580964
2019-02,2020-02,12,MONTHLY_AR_CORE_R17,ar,0.35293221936071306,0.6335730633221398,-0.28064084396142674,Statistical difference; not an uncovered core component,0.7,0.609001605471797,0.09099839452820291
2019-02,2019-03,1,MONTHLY_DOMESTIC_CORE_R17,domestic,0.14919887435667956,0.0025109766156337634,0.1466878977410458,Statistical difference; not an uncovered core component,-0.1,-0.678834986678668,0.5788349866786681
