origin,core1,core3,core12,core_acceleration,midtrend,midcycle,services_yoy,services_change3,goods_yoy,goods_change3,unemployment,unemployment_change3,ip_growth3,ulc_growth12,fx1,fx3,cost_23_now,cost_23_mean3,cost_26_now,cost_26_mean3,cost_45_now,cost_45_mean3,cost_47_now,cost_47_mean3,cost_56_now,cost_56_mean3,cost_62_now,cost_62_mean3,a6_11,a6_12,a6_13,a6_17,a6_23,a6_24,a6_25,a6_26,a6_43,a6_44,a6_45,a6_46,a6_47,a6_48,a6_49,a6_50,a6_51,a6_52,a6_53,a6_54,a6_55,a6_56,a6_57,a6_58,a6_59,a6_60,a6_61,a6_62,a6_63,a6_64,a6_65,a6_66
2010-01,-0.06097512025587005,0.07193427003720271,-0.008538055567778096,0.0804723256049808,0.028672867063320475,-0.004545787590654136,1.2,0.0,-2.4,1.1,7.4,0.0,-0.9837442629406732,2.2536165022412913,0.9594894718365516,2.827606953493832,0.009473301792481514,0.0028214308992889534,0.005982071677547454,0.0025951482075475354,0.0011743982559417887,0.0011757801726561823,0.00235571369245946,0.001178551610769259,-0.011084088680402893,-0.009436642244102048,0.034076239644113215,0.043749358648970116,7.4,72.55637611,8846.0,71.8,0.009473301792481514,7.2,-2223.0,0.005982071677547454,,-0.8,0.0011743982559417887,-0.0023837913552764434,0.00235571369245946,0.0,0.0,,,,4.282852128868104,1.55,1.0,-0.011084088680402893,-0.014300344401474874,-0.019658024805018215,0.01113428822264595,77.01299999999999,,0.034076239644113215,-0.019610649607675334,1.2966871535568338,,
2010-02,-0.6040557293385944,-0.2066766027171737,-0.06695925961958925,-0.13971734309758443,-0.09252576167856322,-0.11665760415919378,1.6,0.40000000000000013,-2.8,-0.19999999999999973,7.8,0.39999999999999947,1.8319269727557868,2.2536165022412913,0.22983232364760603,1.1544806128542653,-0.00716848947861326,0.00023989445679776603,0.01685711706642306,0.01257593374590703,0.0035149421074445186,0.003133591428235327,0.0070340266573794,0.0043112495948559966,-0.010539906715777647,-0.006740599463829433,-0.06372122018234805,0.0125794850052842,7.8,74.69431962,8710.0,71.8,-0.00716848947861326,7.1,-7947.0,0.01685711706642306,,-1.5,0.0035149421074445186,0.0035735594908654633,0.0070340266573794,-0.013528954940319693,0.03677472742502097,,,,4.334503633659364,1.47,1.0,-0.010539906715777647,-0.006614790312778673,0.0009599263709993977,0.0019447077249772349,74.78999999999999,,-0.06372122018234805,-0.03553651246322698,0.22174663171700648,,
2010-03,-0.3193674869571711,-0.3401611265310402,-0.08362593184181481,-0.25653519468922537,-0.11957209588245235,-0.1176840451261183,1.5,0.30000000000000004,-3.3,-1.0,7.9,0.5,-0.3455150921162126,1.4258180627056158,-0.6140639498224222,0.5752578456617355,0.003877365380398956,0.00206072589808907,0.007968169649176897,0.01026911946438247,-0.0023419214450814962,0.0007824729727682703,-0.0035108286500626917,0.001959637233258723,-0.0061279395131466075,-0.009250644969775715,0.08817398565299683,0.019509668371587335,7.9,73.36331838,7046.0,77.7,0.003877365380398956,7.0,11275.0,0.007968169649176897,,-2.1,-0.0023419214450814962,0.003560834623009157,-0.0035108286500626917,0.0,0.0,0.00796816964917678,0.024692612590371338,0.01390290516899146,4.021688923037986,1.44,1.0,-0.0061279395131466075,-0.003067800749412264,-0.006123143279125998,0.0028113872468615853,79.93130434782609,,0.08817398565299683,-0.01835963426785625,0.5021133019917161,,
2010-04,-0.12193966139329564,-0.3504963653857472,-0.0919634346216776,-0.2585329307640696,-0.1027247865045484,-0.07792398060990606,1.4,0.19999999999999996,-3.4,-1.0,7.6,0.1999999999999993,1.015323869454136,1.4258180627056158,-1.6927184196151603,-2.0769500457899763,0.005574230112782352,0.0007610353381893494,0.0029955089797983753,0.009273598565132777,0.001171646296890927,0.0007815556530846498,0.001171646296890927,0.001564948101402545,0.006891298328841167,-0.003258849300027696,0.05783537960394103,0.027429381691529937,7.6,73.29681086,7335.0,77.7,0.005574230112782352,6.9,-2163.0,0.0029955089797983753,,-0.8,0.001171646296890927,0.0011841327612165387,0.001171646296890927,0.0,0.0,0.014888612493750546,0.02566774674857772,0.02078253918252832,3.8401678554316927,1.38,1.0,0.006891298328841167,0.012215135595649684,-0.005233560848317609,0.004658013060947042,85.75380952380954,,0.05783537960394103,-0.007172647490597761,0.4368766766261052,,
2010-05,-0.051621214756427336,-0.16165114799054944,-0.0919634346216776,-0.06968771336887185,-0.08085998283149094,-0.04201468467588884,1.3,-0.30000000000000004,-3.2,-0.40000000000000036,7.4,-0.39999999999999947,1.6813082237161567,1.4258180627056158,-0.8927752846305214,-3.1995576540681037,-0.0012836056814853336,0.002722663270565325,-0.0010005003335834609,0.0033210594317972706,0.007001195458983034,0.0019436401035974882,0.007001195458983034,0.0015540043686037563,0.00447300293730013,0.0017454539176648964,-0.13702168037742446,0.0029958949598378006,7.4,75.96077806,8839.0,77.7,-0.0012836056814853336,6.8,481.0,-0.0010005003335834609,,0.4,0.007001195458983034,0.05971923470162199,0.007001195458983034,-0.0022727282510022206,-0.0015710922320408827,0.0049875415110390425,0.04210117601863528,0.019802627296179695,4.101312240328109,1.24,0.75,0.00447300293730013,0.005649732542119423,-0.01478856058227862,0.003990935579182064,76.99761904761905,,-0.13702168037742446,-0.015017481578821545,0.3072080101854744,,
2010-06,-0.05096278276373515,-0.07133410803957738,-0.09196343462167757,0.02062932658210019,-0.06801123314073168,-0.022094354973736904,1.3,-0.19999999999999996,-3.3,0.0,7.4,-0.5,3.9541356288770264,-1.1635554672747463,1.3849061064181352,-1.2005875978275466,0.001141064166027661,0.0018105628657748933,0.005982071677547433,0.0026590267745874494,0.006952519314881833,0.005041787023585265,0.009259325412797281,0.005810722389557081,-0.015888542510716697,-0.0015080804148584666,-0.07734229111593027,-0.05217619729647124,7.4,76.32231942,9695.0,76.9,0.001141064166027661,6.7,-329.0,0.005982071677547433,,1.4,0.006952519314881833,0.008879081641130604,0.009259325412797281,0.0,0.0,-0.002002002670672985,0.013902905168991453,0.0059820716775475236,4.260100522994997,1.23,0.75,-0.015888542510716697,-0.01817216647565445,0.0032511526641521016,0.006161439169815708,75.65863636363638,,-0.07734229111593027,-0.013423596108931513,0.1098925875271668,,
2010-07,-0.05038676689683096,-0.047599288154998816,-0.0919634346216776,0.04436414646667878,-0.060266762433850415,-0.011144827478798518,1.5,0.10000000000000009,-3.6,-0.20000000000000018,7.2,-0.39999999999999947,4.04483175045229,-1.1635554672747463,0.4431838688771987,0.9353146906648124,0.0002850627157275909,4.750706675663944e-05,0.02664193094642127,0.010541167430128414,0.005757068290067835,0.006570261021310901,0.005743841179252307,0.007334787350344207,-0.0037697594302859017,-0.00506176633456749,0.03208681375857658,-0.060759052578259386,7.2,76.32231942,9695.0,76.9,0.0002850627157275909,6.6,-329.0,0.02664193094642127,,2.0,0.005757068290067835,0.002207506415210503,0.005743841179252307,0.0,0.0,0.007968169649176876,-0.013085239548655536,-0.0010005003335834123,3.9739376503524806,1.22,0.75,-0.0037697594302859017,-0.00874626144504731,0.005154341318419853,0.006564999227361312,75.35636363636364,,0.03208681375857658,0.07584326661803953,-0.027519245223944555,,
2010-08,-0.12190265053945809,-0.07306148210094703,-0.09196343462167755,0.018901952520730528,-0.06959468053375875,-0.018162382352167862,1.6,0.30000000000000004,-3.6,-0.3999999999999999,7.3,-0.10000000000000053,2.0415620104478296,-1.1635554672747463,-1.8596992845000029,-0.03160930920466898,0.002704050605159658,0.0013767258289716366,0.01093994003833416,0.01452131422076762,0.0,0.00423652920164989,0.0011448198159325074,0.005382662135994032,0.025622816664877313,0.001988171574624905,0.07718813065672503,0.010644217766457112,7.3,77.52750286,9407.0,76.9,0.002704050605159658,6.5,-3750.0,0.01093994003833416,,2.4,0.0,-0.002207506415210503,0.0011448198159325074,0.0,0.0,0.019802627296179806,-0.026343975339601894,-0.0010005003335833845,3.562689989318849,1.24,0.75,0.025622816664877313,0.02490432854900071,0.00025967511923497,0.0054163329527838755,77.115,,0.07718813065672503,0.10297628859152841,-0.39114413420780414,,
2010-09,-0.12436653332316258,-0.09838077314372277,-0.10029260406404034,0.0019118309203175615,-0.07658134758893848,-0.021563317285369785,1.5,0.19999999999999996,-3.6,-0.30000000000000027,7.1,-0.3000000000000007,2.1762797561663616,-0.6779686985378803,-1.9876133257902016,-3.4041287414130057,0.0007103786616848851,0.0012331639941907113,-0.01409892437950167,0.007827648868417919,-0.004603000071960572,0.0003846894060357542,-0.005737250390143167,0.0003838035350138824,0.009955938345525439,0.010602998526705617,0.04936770795491263,0.05288088412340475,7.1,78.0015123,8679.0,73.5,0.0007103786616848851,6.4,3233.0,-0.01409892437950167,,1.6,-0.004603000071960572,-0.011111225425071147,-0.005737250390143167,0.0,0.0,-0.004008021397538836,0.06297479916138843,0.026641930946421283,3.34237111618042,1.21,0.75,0.009955938345525439,0.016198734363657152,0.008697487365086687,0.006330396294277563,78.41727272727273,,0.04936770795491263,0.0812126453831361,-0.2389749431577597,,
2010-10,-0.019708589582623226,-0.0853058134681675,-0.10029260406404035,0.014986790595872851,-0.06121665888179771,-0.0037966046549572276,1.5,0.0,-3.5,0.10000000000000009,6.9,-0.2999999999999998,5.057183197220449,-0.6779686985378803,-0.6308403790978832,-4.478152989388088,-0.001421262319971639,0.000664388982290968,-0.01207258123426924,-0.005077188525145584,0.003454234868087269,-0.0003829217346244344,0.0034462986435874754,-0.0003820439768743948,0.006056389348466418,0.01387838145295639,0.07253433372954543,0.06636339078039437,6.9,80.28134273,10087.0,73.5,-0.001421262319971639,6.4,3233.0,-0.01207258123426924,,2.5,0.003454234868087269,0.011111225425071147,0.0034462986435874754,0.0,0.0,0.0009995003330835195,0.10255658832509199,0.05448818528406982,3.429416716121674,1.2,0.75,0.006056389348466418,0.005144451393278793,-0.000235748000992686,0.01476124183653127,83.53619047619048,,0.07253433372954543,0.07755199133901858,-0.048088889110133426,,
