origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,0.052129683418068264,0.1863932898415576,2.969348659003822,2.9658273691872936,0.05211610061884374,0.18621979310646208
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,0.2715472725648647,0.0930232558139509,2.769818529130847,2.9495960924028584,0.32329534966552725,0.2791998091031148
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,0.20649665441088594,0.6505576208178487,2.9467680608364977,2.6718690033974846,0.5295790927877422,0.9276504370292084
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,0.13252933777058704,0.1846722068328699,2.7462121212121224,2.418515338769439,0.6620206879460594,1.112152334386138
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,0.2963906920353939,0.3686635944700533,2.9300567107750517,2.5278926702486144,0.9579730087505715,1.4801380302261997
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,0.006801218999775205,0.0918273645546419,2.9272898961284195,2.4380434694403474,0.9647739964779334,1.571923259249096
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,-0.13029742847079895,-0.5504587155963248,2.6515151515151705,2.59520731408361,0.8343916070985322,1.019943936889315
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,0.27882337137921104,0.4612546125461358,2.735849056603792,2.4930355347827082,1.1128269871552716,1.4801380302262204
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,0.036369703929737894,0.2754820936639035,3.116147308781873,2.6271299955208893,1.14919007891136,1.7552413674152
2019-02,10,2019-12,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,0.11002564040797622,0.1831501831501825,3.207547169811327,2.6431215806887796,1.2591552354726947,1.938224035122816
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,0.8128009493312447,1.4625228519195457,3.6414565826330487,2.41461269669378,2.068670748585904,3.3901551675681305
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,STATE_SLOW_R15,0.28918492838209187,0.2702702702702675,3.7278657968313063,2.3854455707604623,2.3574383417407687,3.660060864484629
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,STATE_MID_R15,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,STATE_MID_R15,0.07237952605556836,0.1863932898415576,2.969348659003822,2.9866669236062093,0.07235334470913615,0.18621979310646208
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,STATE_MID_R15,0.2943088392346683,0.0930232558139509,2.769818529130847,2.993806573304453,0.3662299433533833,0.2791998091031148
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,STATE_MID_R15,0.23114014597535087,0.6505576208178487,2.9467680608364977,2.741220854322471,0.5971033714090522,0.9276504370292084
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,STATE_MID_R15,0.15874730523404398,0.1846722068328699,2.7462121212121224,2.5145306837410266,0.7557248063014105,1.112152334386138
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,STATE_MID_R15,0.32392737954373746,0.3686635944700533,2.9300567107750517,2.652186297134276,1.0791286713422805,1.4801380302261997
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,STATE_MID_R15,0.035249044746971256,0.0918273645546419,2.9272898961284195,2.5914029126764926,1.1143715050729803,1.571923259249096
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,STATE_MID_R15,-0.10121037527777839,-0.5504587155963248,2.6515151515151705,2.7787276374471754,1.013109877510211,1.019943936889315
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,STATE_MID_R15,0.3087664706678433,0.4612546125461358,2.735849056603792,2.707032099116396,1.3214006434705596,1.4801380302262204
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,STATE_MID_R15,0.06671673697707375,0.2754820936639035,3.116147308781873,2.872604506471815,1.388095134726532,1.7552413674152
2019-02,10,2019-12,2019-03-10T22:59:00+00:00,STATE_MID_R15,0.14083179272568236,0.1831501831501825,3.207547169811327,2.9202955359995975,1.5288278524914565,1.938224035122816
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,STATE_MID_R15,0.8439666468112446,1.4625228519195457,3.6414565826330487,2.722915978814549,2.3692530128231986,3.3901551675681305
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,STATE_MID_R15,0.32061576447896184,0.2702702702702675,3.7278657968313063,2.725845453620753,2.689355900909316,3.660060864484629
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.09055862604945425,0.1863932898415576,2.969348659003822,3.0053754316371775,0.09051764646419452,0.18621979310646208
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.31387616830354415,0.0930232558139509,2.769818529130847,3.0326140272253976,0.4039022518532269,0.2791998091031148
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.25170817441997406,0.6505576208178487,2.9467680608364977,2.801024191431436,0.6552941718288768,0.9276504370292084
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.18017448720095988,0.1846722068328699,2.7462121212121224,2.596145995175366,0.8353065395034529,1.112152334386138
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.34608913136908975,0.3686635944700533,2.9300567107750517,2.7566053228597793,1.1807981606533653,1.4801380302261997
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.057882842874308324,0.0918273645546419,2.9272898961284195,2.718995869464546,1.238664257871774,1.571923259249096
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,STATE_FAST_R15,-0.07826855952889304,-0.5504587155963248,2.6515151515151705,2.9301861205549753,1.1603650525140845,1.019943936889315
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.33222624189734584,0.4612546125461358,2.735849056603792,2.882440993795638,1.4920406423025514,1.4801380302262204
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.09037032029517136,0.2754820936639035,3.116147308781873,3.0726545385875057,1.5823701532083048,1.7552413674152
2019-02,10,2019-12,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.1647465912624387,0.1831501831501825,3.207547169811327,3.145064673252726,1.7469811861388123,1.938224035122816
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.8680841953446873,1.4625228519195457,3.6414565826330487,2.971874620575959,2.6113191950561263,3.3901551675681305
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,STATE_FAST_R15,0.3448780342643371,0.2702702702702675,3.7278657968313063,2.999715375016489,2.9556038888371874,3.660060864484629
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,STATE_ADAPT_R15,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,STATE_ADAPT_R15,0.07237952605556836,0.1863932898415576,2.969348659003822,2.9866669236062093,0.07235334470913615,0.18621979310646208
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,STATE_ADAPT_R15,0.2943088392346683,0.0930232558139509,2.769818529130847,2.993806573304453,0.3662299433533833,0.2791998091031148
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,STATE_ADAPT_R15,0.23114014597535087,0.6505576208178487,2.9467680608364977,2.741220854322471,0.5971033714090522,0.9276504370292084
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,STATE_ADAPT_R15,0.15874730523404398,0.1846722068328699,2.7462121212121224,2.5145306837410266,0.7557248063014105,1.112152334386138
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,STATE_ADAPT_R15,0.32392737954373746,0.3686635944700533,2.9300567107750517,2.652186297134276,1.0791286713422805,1.4801380302261997
