as_of_utc,target,model,mm_forecast,native_h0,h0_exante,h0_actual,h0_method,mm_actual,yy_actual,yy_exante,yy_conditional,status,converged,fallback_used,unemployment_end,unemployment_adjustments,fx_end,headline_n,origin,h,origin_status,contribution_core,contribution_food,contribution_administered,contribution_alcohol_tobacco,contribution_fuel,contribution_wedge,value_core,value_food,value_administered,value_alcohol_tobacco,value_fuel,value_wedge,weight_food,weight_fuel,weight_alc,weight_administered,weight_core,legacy_source_fallback_used,legacy_source_origin_status,legacy_source_converged,fuel_fallback_used,cumulative_log_forecast,cumulative_log_actual
2019-03-10T22:59:00+00:00,2019-02,STATE_SLOW_R15,0.3177548805881821,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1867413632119507,2.6794258373205744,,,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,0,research_estimated,,,,,,,,,,,,,,,,,,False,failed_nonfinite,True,False,0.0,0.0
2019-03-10T22:59:00+00:00,2019-03,STATE_SLOW_R15,0.052129683418068264,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1863932898415576,2.969348659003822,,,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,1,research_estimated,0.06375419843450782,-0.033957079198331935,0.015380661933310783,0.04671971117706229,0.003757224296524392,-0.04352503322500508,0.11647827877383427,-0.19116997637700336,0.1,0.5070259413749834,0.1292355051968831,-0.04352503322500508,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,True,failed_nonfinite,False,False,0.002099551594272307,0.18621979310646208
2019-03-10T22:59:00+00:00,2019-04,STATE_SLOW_R15,0.2715472725648647,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.0930232558139509,2.769818529130847,,,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,2,research_estimated,0.2540127162349638,-0.03737281441040067,0.015380661933310783,0.06032955966627137,0.0,-0.020802850859280558,0.4640786756045328,-0.21039972272790136,0.1,0.6547269024545554,0.0,-0.020802850859280558,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,True,failed_nonfinite,False,False,0.3090891270563808,0.2791998091031148
2019-03-10T22:59:00+00:00,2019-05,STATE_SLOW_R15,0.20649665441088594,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.6505576208178487,2.9467680608364977,,,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,3,research_estimated,0.09540348168774375,0.05469314414421964,0.015380661933310783,0.011091361384545593,0.0,0.02992800526106615,0.1743012006877441,0.30790890503174134,0.1,0.12036906490745512,0.0,0.02992800526106615,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,True,failed_nonfinite,False,False,0.5110265136663967,0.9276504370292084
2019-03-10T22:59:00+00:00,2019-06,STATE_SLOW_R15,0.13252933777058704,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1846722068328699,2.7462121212121224,,,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,4,research_estimated,0.1296464865141505,0.005100922724413865,0.0,-0.0040829653995750155,0.0,0.0018648939315976873,0.23686282580677462,0.02871693619559069,0.0,-0.0443104061040811,0.0,0.0018648939315976873,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,0.6302199245030546,1.112152334386138
2019-03-10T22:59:00+00:00,2019-07,STATE_SLOW_R15,0.2963906920353939,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.3686635944700533,2.9300567107750517,,,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,5,research_estimated,0.27231448302750366,-0.029093043446636598,0.007690330966655392,0.046131120814105864,0.0,-0.0006521993262344136,0.4975158193042538,-0.16378665538176962,0.05,0.5006382609860527,0.0,-0.0006521993262344136,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,0.9529127795142232,1.4801380302261997
2019-03-10T22:59:00+00:00,2019-08,STATE_SLOW_R15,0.006801218999775205,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.0918273645546419,2.9272898961284195,,,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,6,research_estimated,0.1001500843693187,-0.09989467482118043,0.0,-0.030673282247466654,0.0,0.037219091699103604,0.1829731960064691,-0.5623823684662368,0.0,-0.3328819766809238,0.0,0.037219091699103604,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,0.9266487231256494,1.571923259249096
2019-03-10T22:59:00+00:00,2019-09,STATE_SLOW_R15,-0.13029742847079895,,0.3177548805881821,0.1867413632119507,HARD_BASE,-0.5504587155963248,2.6515151515151705,,,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,7,research_estimated,-0.19730526664558554,0.07449635448437636,0.015380661933310783,0.026029154569884028,0.0,-0.04889833281278459,-0.3604747360363803,0.41939609245457943,0.1,0.2824815536417502,0.0,-0.04889833281278459,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,0.8347244358994527,1.019943936889315
2019-03-10T22:59:00+00:00,2019-10,STATE_SLOW_R15,0.27882337137921104,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.4612546125461358,2.735849056603792,,,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,8,research_estimated,0.20858519540791362,0.06655582208021883,0.0,0.01070812796820212,0.0,-0.007025774077123541,0.3810830523385157,0.3746928544859207,0.0,0.11621002199403706,0.0,-0.007025774077123541,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,1.1753424476604521,1.4801380302262204
2019-03-10T22:59:00+00:00,2019-11,STATE_SLOW_R15,0.036369703929737894,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.2754820936639035,3.116147308781873,,,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,9,research_estimated,0.014236111374567859,0.016425382251213462,0.0,-0.007630898881345322,0.0,0.013339109185301897,0.02600923217700979,0.09247084882088372,0.0,-0.0828143751614413,0.0,0.013339109185301897,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,1.3111543083868713,1.7552413674152
2019-03-10T22:59:00+00:00,2019-12,STATE_SLOW_R15,0.11002564040797622,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1831501831501825,3.207547169811327,,,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,10,research_estimated,0.10544446428494243,0.07045666951594895,0.0,-0.04753595728397575,0.0,-0.018339536108939423,0.192645974817736,0.396653662946015,0.0,-0.5158842570692518,0.0,-0.018339536108939423,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,1.4461850490759265,1.938224035122816
