as_of_utc,target,model,mm_forecast,native_h0,h0_exante,h0_actual,h0_method,mm_actual,yy_actual,yy_exante,yy_conditional,status,converged,fallback_used,unemployment_end,unemployment_adjustments,fx_end,headline_n,origin,h,origin_status,contribution_core,contribution_food,contribution_administered,contribution_alcohol_tobacco,contribution_fuel,contribution_wedge,value_core,value_food,value_administered,value_alcohol_tobacco,value_fuel,value_wedge,weight_food,weight_fuel,weight_alc,weight_administered,weight_core,legacy_source_fallback_used,legacy_source_origin_status,legacy_source_converged,fuel_fallback_used,cumulative_log_forecast,cumulative_log_actual,food_model_status,food_fallback_reason,food_fallback_used
2019-03-10T22:59:00+00:00,2019-02,FOOD_SEASONAL_R17,0.3177548805881821,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1867413632119507,2.6794258373205744,2.8136990211578414,2.6794258373205744,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,0,research_estimated,,,,,,,,,,,,,,,,,,False,failed_nonfinite,True,False,0.0,0.0,preserved_h0,,False
2019-03-10T22:59:00+00:00,2019-03,FOOD_SEASONAL_R17,0.0908234039764978,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1863932898415576,2.969348659003822,3.0056479203729327,2.8711240540869554,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,1,research_estimated,0.1021831410658938,-0.03369230127128836,0.015380661933310783,0.04671971117706229,0.003757224296524392,-0.04352503322500508,0.18668757012584491,-0.18967934198638242,0.1,0.5070259413749834,0.1292355051968831,-0.04352503322500508,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,True,failed_nonfinite,False,False,0.09078218447902749,0.18621979310646208,control,,False
2019-03-10T22:59:00+00:00,2019-04,FOOD_SEASONAL_R17,0.3310794530009669,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.0930232558139509,2.769818529130847,3.050556168228079,2.915973652428685,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,2,research_estimated,0.2963416119736432,-0.02016952971297786,0.015380661933310783,0.06032955966627137,0.0,-0.020802850859280558,0.5414131420256466,-0.11354947509603984,0.1,0.6547269024545554,0.0,-0.020802850859280558,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,True,failed_nonfinite,False,False,0.4213147761568831,0.2791998091031148,control,,False
2019-03-10T22:59:00+00:00,2019-05,FOOD_SEASONAL_R17,0.25154964696821513,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.6505576208178487,2.9467680608364977,2.818763416308013,2.684483618444916,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,3,research_estimated,0.1406150016968319,0.054534616692460756,0.015380661933310783,0.011091361384545593,0.0,0.02992800526106615,0.25690219263366393,0.3070164345977901,0.1,0.12036906490745512,0.0,0.02992800526106615,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,True,failed_nonfinite,False,False,0.6725485665804436,0.9276504370292084,control,,False
2019-03-10T22:59:00+00:00,2019-06,FOOD_SEASONAL_R17,0.17754874544549215,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1846722068328699,2.7462121212121224,2.611160337651258,2.4771516663657582,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,4,research_estimated,0.17729163594452335,0.002475180968946122,0.0,-0.0040829653995750155,0.0,0.0018648939315976873,0.32391003420784753,0.013934658060504871,0.0,-0.0443104061040811,0.0,0.0018648939315976873,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,0.8499398805584081,1.112152334386138,control,,False
2019-03-10T22:59:00+00:00,2019-07,FOOD_SEASONAL_R17,0.26828604900338127,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.3686635944700533,2.9300567107750517,2.691959418174755,2.557845224474477,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,5,research_estimated,0.3220129223611995,-0.10689612581234509,0.007690330966655392,0.046131120814105864,0.0,-0.0006521993262344136,0.5883143676897583,-0.6017988098146859,0.05,0.5006382609860527,0.0,-0.0006521993262344136,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,1.1178666849333725,1.4801380302261997,control,,False
2019-03-10T22:59:00+00:00,2019-08,FOOD_SEASONAL_R17,0.0568850932162874,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.0918273645546419,2.9272898961284195,2.6533499843685524,2.5192862140228724,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,6,research_estimated,0.15123170824385182,-0.10089242447920135,0.0,-0.030673282247466654,0.0,0.037219091699103604,0.2762988086245952,-0.5679994528285276,0.0,-0.3328819766809238,0.0,0.037219091699103604,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,1.174735604713734,1.571923259249096,control,,False
2019-03-10T22:59:00+00:00,2019-09,FOOD_SEASONAL_R17,-0.07886633267601693,,0.3177548805881821,0.1867413632119507,HARD_BASE,-0.5504587155963248,2.6515151515151705,2.863789890082352,2.729451288304522,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,7,research_estimated,-0.14527639770367962,0.07389858133725248,0.015380661933310783,0.026029154569884028,0.0,-0.04889833281278459,-0.2654185162153744,0.4160307771473638,0.1,0.2824815536417502,0.0,-0.04889833281278459,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,1.0958381561845378,1.019943936889315,control,,False
2019-03-10T22:59:00+00:00,2019-10,FOOD_SEASONAL_R17,0.3319173066070781,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.4612546125461358,2.735849056603792,2.8157589784652792,2.681483104353965,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,8,research_estimated,0.26198806592604845,0.06624688678995098,0.0,0.01070812796820212,0.0,-0.007025774077123541,0.4786495592082417,0.3729536250369571,0.0,0.11621002199403706,0.0,-0.007025774077123541,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,1.4272058331742308,1.4801380302262204,control,,False
2019-03-10T22:59:00+00:00,2019-11,FOOD_SEASONAL_R17,0.09015837950992181,,0.3177548805881821,0.1867413632119507,HARD_BASE,0.2754820936639035,3.116147308781873,3.0056311243432954,2.8711072799926862,research_estimated,True,False,2019-01,sa,2019-02,336,2019-02,9,research_estimated,0.06823672774000134,0.016213441465963898,0.0,-0.007630898881345322,0.0,0.013339109185301897,0.12466781469268841,0.09127767450006424,0.0,-0.0828143751614413,0.0,0.013339109185301897,0.177627679,0.029072694,0.092144617,0.15380661933310782,0.5473483906668922,False,failed_nonfinite,True,False,1.5173235944291803,1.7552413674152,control,,False
