origin,core_acceleration,family,band,services_projection,goods_projection
2010-01,0.0804723256049808,own,0,,
2010-02,-0.13971734309758443,own,0,,
2010-03,-0.25653519468922537,own,0,,
2010-04,-0.2585329307640696,own,0,,
2010-05,-0.06968771336887185,own,0,,
2010-06,0.02062932658210019,own,0,,
2010-07,0.04436414646667878,own,0,,
2010-08,0.018901952520730528,own,0,,
2010-09,0.0019118309203175615,own,0,,
2010-10,0.014986790595872851,own,0,,
2010-11,0.07012491537706567,own,0,,
2010-12,0.099485034776073,own,0,,
2011-01,0.07704977168218995,own,0,,
2011-02,0.0013353437926719725,own,0,,
2011-03,-0.06503456362478144,own,0,,
2011-04,-0.06985535060429211,own,0,,
2011-05,-0.03553843925773509,own,0,,
2011-06,0.012222757992244898,own,0,,
2011-07,0.028835592174351415,own,0,,
2011-08,0.0028661642277841848,own,0,,
2011-09,0.008741928001254583,own,0,,
2011-10,0.036737482538566596,own,0,,
2011-11,0.10280464262656956,own,0,,
2011-12,0.13804085221051313,own,0,,
2012-01,0.09652343076300218,own,0,,
2012-02,0.015676784330355225,own,0,,
2012-03,-0.021374775183405026,own,0,,
2012-04,-0.04527306307374675,own,0,,
2012-05,-0.01853807647728798,own,0,,
2012-06,-0.02101778378390163,own,0,,
2012-07,0.0184349774467528,own,0,,
2012-08,-0.06408391603182348,own,0,,
2012-09,-0.10849077902783472,own,0,,
2012-10,-0.0824689768007342,own,0,,
2012-11,0.020831791837620496,own,0,,
2012-12,0.04052587732714671,own,0,,
2013-01,-0.01537435582276215,own,0,,
2013-02,-0.026097122564099344,own,0,,
2013-03,0.03308812897863598,own,0,,
2013-04,0.035767962153772814,own,0,,
2013-05,0.016608937516510585,own,0,,
2013-06,-0.06962670282389297,own,0,,
2013-07,-0.05865231418517712,own,0,,
2013-08,-0.09280586041242743,own,0,,
2013-09,-0.05214854688237168,own,0,,
2013-10,-0.02305554929584741,own,0,,
2013-11,0.07039133601197023,own,0,,
2013-12,0.09513164748015118,own,0,,
2014-01,0.11390564534823866,own,0,,
2014-02,0.05851531662645733,own,0,,
2014-03,0.08843069369475806,own,0,,
2014-04,0.07723644793753562,own,0,,
2014-05,0.09738083178267477,own,0,,
