origin,h,target,model,status,reason,selected_model,finite_food,mm_actual,outcome_status
2019-02,1,2019-03,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,0.0,realised
2019-02,2,2019-04,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,-0.6505576208178376,realised
2019-02,3,2019-05,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,1.9644527595883865,realised
2019-02,4,2019-06,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,0.3669724770642314,realised
2019-02,5,2019-07,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,-0.5484460694698434,realised
2019-02,6,2019-08,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,-0.2757352941176406,realised
2019-02,7,2019-09,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,-0.5529953917050688,realised
2019-02,8,2019-10,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,0.8341056533827549,realised
2019-02,9,2019-11,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,1.1948529411764712,realised
2019-02,10,2019-12,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,0.7266121707538703,realised
2019-02,11,2020-01,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,2.344454463480617,realised
2019-02,12,2020-02,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,0.0,realised
2019-02,1,2019-03,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,0.0,realised
2019-02,2,2019-04,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,-0.6505576208178376,realised
2019-02,3,2019-05,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,1.9644527595883865,realised
2019-02,4,2019-06,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,0.3669724770642314,realised
2019-02,5,2019-07,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,-0.5484460694698434,realised
2019-02,6,2019-08,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,-0.2757352941176406,realised
2019-02,7,2019-09,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,-0.5529953917050688,realised
2019-02,8,2019-10,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,0.8341056533827549,realised
2019-02,9,2019-11,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,1.1948529411764712,realised
2019-02,10,2019-12,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,0.7266121707538703,realised
2019-02,11,2020-01,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,2.344454463480617,realised
2019-02,12,2020-02,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,0.0,realised
2019-02,1,2019-03,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,0.0,realised
2019-02,2,2019-04,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,-0.6505576208178376,realised
2019-02,3,2019-05,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,1.9644527595883865,realised
2019-02,4,2019-06,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,0.3669724770642314,realised
2019-02,5,2019-07,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,-0.5484460694698434,realised
2019-02,6,2019-08,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,-0.2757352941176406,realised
2019-02,7,2019-09,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,-0.5529953917050688,realised
2019-02,8,2019-10,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,0.8341056533827549,realised
2019-02,9,2019-11,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,1.1948529411764712,realised
2019-02,10,2019-12,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,0.7266121707538703,realised
2019-02,11,2020-01,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,2.344454463480617,realised
2019-02,12,2020-02,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,0.0,realised
2019-03,1,2019-04,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,-0.6505576208178376,realised
2019-03,2,2019-05,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,1.9644527595883865,realised
2019-03,3,2019-06,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,0.3669724770642314,realised
2019-03,4,2019-07,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,-0.5484460694698434,realised
2019-03,5,2019-08,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,-0.2757352941176406,realised
2019-03,6,2019-09,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,-0.5529953917050688,realised
2019-03,7,2019-10,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,0.8341056533827549,realised
2019-03,8,2019-11,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,1.1948529411764712,realised
2019-03,9,2019-12,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,0.7266121707538703,realised
2019-03,10,2020-01,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,2.344454463480617,realised
2019-03,11,2020-02,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,0.0,realised
2019-03,12,2020-03,FOOD_H0_FAST_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_FAST_R18,True,0.8810572687224736,realised
2019-03,1,2019-04,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,-0.6505576208178376,realised
2019-03,2,2019-05,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,1.9644527595883865,realised
2019-03,3,2019-06,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,0.3669724770642314,realised
2019-03,4,2019-07,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,-0.5484460694698434,realised
2019-03,5,2019-08,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,-0.2757352941176406,realised
2019-03,6,2019-09,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,-0.5529953917050688,realised
2019-03,7,2019-10,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,0.8341056533827549,realised
2019-03,8,2019-11,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,1.1948529411764712,realised
2019-03,9,2019-12,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,0.7266121707538703,realised
2019-03,10,2020-01,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,2.344454463480617,realised
2019-03,11,2020-02,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,0.0,realised
2019-03,12,2020-03,FOOD_H0_SLOW_R18,fallback,fallback_insufficient_mature_origins,FOOD_H0_SLOW_R18,True,0.8810572687224736,realised
2019-03,1,2019-04,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,-0.6505576208178376,realised
2019-03,2,2019-05,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,1.9644527595883865,realised
2019-03,3,2019-06,FOOD_H0_SELECT_R18,fallback,fallback_insufficient_mature_validation,STATE_FAST_R15,True,0.3669724770642314,realised
