scope,benchmark,model,metric,h,sample,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,1,full,89,12,2000,1509,78,89,-0.006812748435603353,-0.02469846720935873,0.0040364378170922345,0.8365,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,1,origins_2019_2021,35,12,2000,1509,24,35,0.0017477811324932094,-0.00407590545683237,0.004191347067818644,0.293,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,1,origins_2022_2023,24,12,2000,1509,13,24,-0.032735276186746064,-0.04502713111854143,0.013292489007404937,0.789,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,1,origins_2024plus,30,12,2000,1509,19,30,0.00393798926919815,-0.0020940572951661557,0.006503702796619132,0.327,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,1,recent_targets,31,12,2000,1509,20,31,0.0045071330959744835,-0.0019306272020371991,0.007908551338358636,0.283,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,2,full,88,12,2000,1509,77,88,-0.026622326642311355,-0.08927811870197963,0.009095737878436084,0.8795,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,2,origins_2019_2021,35,12,2000,1509,24,35,0.001650120149146856,-0.00683181434947389,0.014002981139518101,0.203,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,2,origins_2022_2023,24,12,2000,1509,13,24,-0.11308154023546896,-0.1683551162518305,0.015117786395343627,0.908,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,2,origins_2024plus,29,12,2000,1509,18,29,0.010808207445093632,-0.005544319199070261,0.01708007863423365,0.347,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,2,recent_targets,31,12,2000,1509,20,31,0.01267195460179654,-0.005359553980964249,0.02340908153323658,0.2515,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,3,full,87,12,2000,1509,76,87,-0.07136395001900817,-0.22454376516700678,0.009434358294976304,0.9275,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,3,origins_2019_2021,35,12,2000,1509,24,35,-0.036703714459815205,-0.05266844118470868,0.0284604565145283,0.3505,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,3,origins_2022_2023,24,12,2000,1509,13,24,-0.22266985605088804,-0.31560403881093185,-0.001974862337767447,0.979,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,3,origins_2024plus,28,12,2000,1509,17,28,0.015001532130754803,-0.011283581212799949,0.024995121069466514,0.402,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,3,recent_targets,31,12,2000,1509,20,31,0.017399988570150248,-0.010172472378469398,0.03964766442654109,0.235,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,4,full,86,12,2000,1509,75,86,-0.13296116419989426,-0.4054959765845256,0.010175147374560795,0.9495,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,4,origins_2019_2021,35,12,2000,1509,24,35,-0.1068244566385785,-0.1451899119530164,0.04267653704950632,0.419,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,4,origins_2022_2023,24,12,2000,1509,13,24,-0.3335211050909875,-0.474047314003031,-0.017049433051383307,0.995,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,4,origins_2024plus,27,12,2000,1509,16,27,0.011433421605297847,-0.018764669540590445,0.02825083452327347,0.5385,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,4,recent_targets,31,12,2000,1509,20,31,0.012988645383291543,-0.016694006667598085,0.05116862883280394,0.261,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,5,full,85,12,2000,1509,74,85,-0.2072562917838649,-0.6170169405156993,0.00869228563920465,0.96,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,5,origins_2019_2021,35,12,2000,1509,24,35,-0.20443919538456212,-0.27792844567905955,0.0581898896059391,0.4555,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,5,origins_2022_2023,24,12,2000,1509,13,24,-0.4467778577352101,-0.6082898928995932,-0.05431639695506623,1.0,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,5,origins_2024plus,26,12,2000,1509,15,26,0.010048293172161587,-0.028121468060489752,0.03043076127505701,0.568,ok
