clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,model,forecast,realised,error,model_cnb_deviation,realised_cnb_error,abs_error_gain_vs_cnb,squared_error_gain_vs_cnb,material_gain,material_loss,deviation_direction_correct,threshold,capture_ratio,relative_absolute_error_gain
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,10.79035743221643,11.23658150891361,-0.44622407669717923,1.1537254442610791,1.5999495209582584,1.1537254442610791,2.3607225429903105,True,False,True,0.5,0.721101152972675,0.721101152972675
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_R27,10.872275145279238,11.23658150891361,-0.3643063636343715,1.2356431573238869,1.5999495209582584,1.2356431573238869,2.4271193430300615,True,False,True,0.5,0.7723013389721337,0.7723013389721337
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED040_R29B,10.872275145279238,11.23658150891361,-0.3643063636343715,1.2356431573238869,1.5999495209582584,1.2356431573238869,2.4271193430300615,True,False,True,0.5,0.7723013389721337,0.7723013389721337
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED060_R29B,10.872275145279238,11.23658150891361,-0.3643063636343715,1.2356431573238869,1.5999495209582584,1.2356431573238869,2.4271193430300615,True,False,True,0.5,0.7723013389721337,0.7723013389721337
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED080_R29B,10.872275145279238,11.23658150891361,-0.3643063636343715,1.2356431573238869,1.5999495209582584,1.2356431573238869,2.4271193430300615,True,False,True,0.5,0.7723013389721337,0.7723013389721337
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_PANEL_R29B,10.198719624561797,11.23658150891361,-1.0378618843518126,0.5620876366064458,1.5999495209582584,0.5620876366064458,1.4826811786242655,True,False,True,0.5,0.35131585668389986,0.35131585668389986
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,11.766130674099614,15.77230851609123,-4.006177841991617,2.2610265140996137,6.267204356091231,2.2610265140996137,23.228389539344292,True,False,True,0.5,0.36077114860664683,0.36077114860664683
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_R27,11.921078775268612,15.77230851609123,-3.8512297408226193,2.4159746152686115,6.267204356091231,2.4159746152686115,24.445879924412242,True,False,True,0.5,0.3854947881060355,0.3854947881060355
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED040_R29B,11.921078775268612,15.77230851609123,-3.8512297408226193,2.4159746152686115,6.267204356091231,2.4159746152686115,24.445879924412242,True,False,True,0.5,0.3854947881060355,0.3854947881060355
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED060_R29B,11.921078775268612,15.77230851609123,-3.8512297408226193,2.4159746152686115,6.267204356091231,2.4159746152686115,24.445879924412242,True,False,True,0.5,0.3854947881060355,0.3854947881060355
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED080_R29B,11.921078775268612,15.77230851609123,-3.8512297408226193,2.4159746152686115,6.267204356091231,2.4159746152686115,24.445879924412242,True,False,True,0.5,0.3854947881060355,0.3854947881060355
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_PANEL_R29B,10.21785378882072,15.77230851609123,-5.55445472727051,0.7127496288207205,6.267204356091231,0.7127496288207205,8.425883123711184,True,False,True,0.5,0.11372688495915786,0.11372688495915786
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,11.507533927035754,17.578003612072624,-6.070469685036871,3.3371534970357537,9.407623182072625,3.3371534970357537,51.65277173891861,True,False,True,0.5,0.3547286527584467,0.3547286527584467
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_R27,11.68669924689568,17.578003612072624,-5.891304365176945,3.51631881689568,9.407623182072625,3.51631881689568,53.795906812717334,True,False,True,0.5,0.37377334836247006,0.37377334836247006
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED040_R29B,11.68669924689568,17.578003612072624,-5.891304365176945,3.51631881689568,9.407623182072625,3.51631881689568,53.795906812717334,True,False,True,0.5,0.37377334836247006,0.37377334836247006
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED060_R29B,11.68669924689568,17.578003612072624,-5.891304365176945,3.51631881689568,9.407623182072625,3.51631881689568,53.795906812717334,True,False,True,0.5,0.37377334836247006,0.37377334836247006
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED080_R29B,11.68669924689568,17.578003612072624,-5.891304365176945,3.51631881689568,9.407623182072625,3.51631881689568,53.795906812717334,True,False,True,0.5,0.37377334836247006,0.37377334836247006
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_PANEL_R29B,9.239714088230604,17.578003612072624,-8.33828952384202,1.0693336582306046,9.407623182072625,1.0693336582306046,18.976301752456678,True,False,True,0.5,0.11366671873809216,0.11366671873809216
report,2022-02-10,2022-01-21,2022Q4,4,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,11.239183819807941,15.699043922150208,-4.459860102342267,4.611719009807941,9.071579112150207,4.61171900980794,62.40319545553557,True,False,True,0.5,0.5083700371009431,0.508370037100943
report,2022-02-10,2022-01-21,2022Q4,4,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_R27,11.430877058806919,15.699043922150208,-4.268166863343289,4.803412248806919,9.071579112150207,4.803412248806918,64.07629921465825,True,False,True,0.5,0.5295012245854054,0.5295012245854053
report,2022-02-10,2022-01-21,2022Q4,4,2021-12,2022-01-11 22:59:00+00:00,CORE_LEVELPHASE_FIXED040_R29B,11.430877058806919,15.699043922150208,-4.268166863343289,4.803412248806919,9.071579112150207,4.803412248806918,64.07629921465825,True,False,True,0.5,0.5295012245854054,0.5295012245854053
