model,clock,report_date,quarter,next_report,forecast,cnb_current,cnb_next,realised,threshold,deviation,call,forecast_available,next_report_available,next_forecast_available,target_still_future,revision_eligible,revision,revision_direction_agrees,revision_distance_gain,revision_confirmed,abs_error_gain,material_gain,material_loss,joint_success,episode_start
CORE_FEEDBACK_R21,cutoff,2022-02-10,2022Q1,2022-05-12,10.901899365574742,9.63663198795535,,11.23658150891361,0.3,1.2652673776193915,True,True,True,False,False,False,,False,,False,1.2652673776193915,True,False,False,True
CORE_FEEDBACK_R21,cutoff,2022-02-10,2022Q2,2022-05-12,12.013603124983982,9.50510416,14.5366564687991,15.77230851609123,0.3,2.508498964983982,True,True,True,True,False,False,,False,,False,2.508498964983982,True,False,False,True
CORE_FEEDBACK_R21,cutoff,2022-05-12,2022Q2,2022-08-11,12.72512790272563,14.5366564687991,,15.77230851609123,0.3,-1.81152856607347,True,True,True,False,False,False,,False,,False,-1.81152856607347,False,True,False,True
CORE_FEEDBACK_R21,cutoff,2022-02-10,2022Q3,2022-05-12,11.852727869108884,8.17038043,13.8649926,17.578003612072624,0.3,3.6823474391088844,True,True,True,True,True,True,5.694612170000001,True,1.6700827082177678,True,3.6823474391088844,True,False,True,True
CORE_FEEDBACK_R21,cutoff,2022-05-12,2022Q3,2022-08-11,12.598672329966533,13.8649926,19.4927708743343,17.578003612072624,0.3,-1.266320270033468,True,True,True,True,False,False,,False,,False,-1.266320270033468,False,True,False,True
CORE_FEEDBACK_R21,cutoff,2022-02-10,2022Q4,2022-05-12,11.655090337715748,6.62746481,12.749894,15.699043922150208,0.3,5.027625527715748,True,True,True,True,True,True,6.122429189999999,True,3.932821865431497,True,5.027625527715747,True,False,True,True
CORE_FEEDBACK_R21,cutoff,2022-08-11,2022Q4,2022-11-10,18.238912852546832,19.6557739,18.4131830570712,15.699043922150208,0.3,-1.4168610474531675,True,True,True,True,False,False,,False,,False,1.4168610474531675,True,False,False,True
CORE_FEEDBACK_R21,cutoff,2022-05-12,2023Q1,2022-08-11,8.854235960921693,7.85719611,16.1682854,16.393468660721574,0.3,0.9970398509216931,True,True,True,True,True,True,8.311089289999998,True,-6.317009588156612,False,0.9970398509216931,True,False,False,True
CORE_FEEDBACK_R21,cutoff,2022-08-11,2023Q1,2022-11-10,14.854335631487366,16.1682854,14.8665554,16.393468660721574,0.3,-1.3139497685126322,True,True,True,True,True,True,-1.3017299999999992,True,1.3017299999999992,True,-1.3139497685126322,False,True,False,True
CORE_FEEDBACK_R21,cutoff,2022-08-11,2023Q2,2022-11-10,12.058720341150588,11.4594623,10.1921138,11.15840613352934,0.3,0.5992580411505877,True,True,True,True,True,True,-1.2673485000000007,False,-1.2673485000000007,False,-0.5992580411505877,False,True,False,True
CORE_FEEDBACK_R21,cutoff,2023-02-09,2023Q2,2023-05-11,8.276072668684307,11.3077531,11.6366874653985,11.15840613352934,0.3,-3.031680431315692,True,True,True,True,False,False,,False,,False,-2.7329864983743732,False,True,False,True
CORE_FEEDBACK_R21,cutoff,2023-05-11,2023Q2,2023-08-10,12.554942988383822,11.6366874653985,,11.15840613352934,0.3,0.9182555229853211,True,True,True,False,False,False,,False,,False,-0.9182555229853211,False,True,False,True
CORE_FEEDBACK_R21,cutoff,2022-11-10,2023Q3,2023-02-09,9.470436760882288,6.95297995,7.77590417,8.048806481176504,0.3,2.5174568108822886,True,True,True,True,True,True,0.82292422,True,0.82292422,True,-0.32580374852927996,False,True,False,True
CORE_FEEDBACK_R21,cutoff,2023-02-09,2023Q3,2023-05-11,6.421103507148618,7.77590417,8.32302304,8.048806481176504,0.3,-1.3548006628513818,True,True,True,True,True,True,0.5471188700000011,False,-0.5471188700000011,False,-1.3548006628513818,False,True,False,True
CORE_FEEDBACK_R21,cutoff,2023-05-11,2023Q3,2023-08-10,10.257889194487058,8.32302304,8.1866590723162,8.048806481176504,0.3,1.9348661544870573,True,True,True,True,False,False,,False,,False,-1.9348661544870573,False,True,False,True
