sample,clock,model,omitted_report,n,mae,rmse,bias,report_count,unique_target_quarters,cnb_rmse,cnb_mae,rmse_gain_vs_cnb,mae_gain_vs_cnb,full_rmse_gain_vs_cnb,full_mae_gain_vs_cnb,scope
full,cutoff,CORE_FEEDBACK_R21,2022-02-10,62,1.140451271419745,1.8499224078474465,-0.04996513184244356,17,17,1.4762985730425087,0.7040305251471131,-0.3736238348049379,-0.43642074627263194,0.2521737283032861,-0.22082343877992727,within_clock_common
full,cutoff,CORE_FEEDBACK_R21,2022-05-12,62,1.0615491364249883,1.6774686555236982,0.028937003152313026,17,18,2.011588414712717,0.8639058580347869,0.33411975918901904,-0.19764327839020135,0.2521737283032861,-0.22082343877992727,within_clock_common
full,cutoff,CORE_FEEDBACK_R21,2022-08-11,62,1.280358564335533,2.0708237817994695,-0.300846074371711,17,18,2.3011132855836207,1.025782452630478,0.23028950378415125,-0.2545761117050551,0.2521737283032861,-0.22082343877992727,within_clock_common
full,cutoff,CORE_FEEDBACK_R21,2022-11-10,62,1.2648447527532123,2.0619473154499444,-0.2779111628293885,17,18,2.3277027370360734,1.0273077011297567,0.2657554215861291,-0.23753705162345562,0.2521737283032861,-0.22082343877992727,within_clock_common
full,cutoff,CORE_FEEDBACK_R21,2023-02-09,62,1.2075888982751866,1.972546185973711,-0.1290954734762224,17,18,2.3679762558638635,1.1198213144271685,0.3954300698901525,-0.08776758384801808,0.2521737283032861,-0.22082343877992727,within_clock_common
full,cutoff,CORE_FEEDBACK_R21,2023-05-11,62,1.1727980333575183,1.9451307867781178,-0.4647995589964227,17,18,2.364701449100045,1.0977174807353174,0.4195706623219271,-0.07508055262220092,0.2521737283032861,-0.22082343877992727,within_clock_common
full,cutoff,CORE_FEEDBACK_R21,2023-08-10,62,1.3333823870301413,2.1045423775207746,-0.2916615703319676,17,18,2.3661721828347044,1.1073596899799842,0.2616298053139299,-0.2260226970501571,0.2521737283032861,-0.22082343877992727,within_clock_common
full,cutoff,CORE_FEEDBACK_R21,2023-11-09,62,1.290167695885065,2.0877798587902183,-0.3474298964688762,17,18,2.366849088210777,1.1139947860587205,0.2790692294205588,-0.17617290982634448,0.2521737283032861,-0.22082343877992727,within_clock_common
full,cutoff,CORE_FEEDBACK_R21,2024-02-15,62,1.3423964007328666,2.1063149510821,-0.25191026115556475,17,18,2.366056213976598,1.1097687047272502,0.25974126289449817,-0.2326276960056164,0.2521737283032861,-0.22082343877992727,within_clock_common
full,cutoff,CORE_FEEDBACK_R21,2024-05-09,62,1.3606816466341922,2.108111774597324,-0.2722719231020984,17,18,2.367256203681473,1.113370885039828,0.2591444290841487,-0.24731076159436416,0.2521737283032861,-0.22082343877992727,within_clock_common
