origin,model,block,h,target,mm_forecast,mm_actual,cumulative_log_forecast,cumulative_log_actual
2019-02,CORE_FEEDBACK_R21,fuel,3,2019-05,0.0,2.613746369796721,0.1291520679971201,7.541506695894638
2019-02,CORE_FEEDBACK_R21,fuel,4,2019-06,0.0,-0.09433962264150386,0.1291520679971201,7.447122545424007
2019-02,CORE_FEEDBACK_R21,fuel,5,2019-07,0.0,-1.3220018885741314,0.1291520679971201,6.116304425174493
2019-02,CORE_FEEDBACK_R21,fuel,6,2019-08,0.0,-0.4784688995215336,0.1291520679971201,5.6366871988251885
2019-02,CORE_FEEDBACK_R21,fuel,7,2019-09,0.0,-0.48076923076922906,0.1291520679971201,5.1547585552303
2019-02,CORE_FEEDBACK_R21,fuel,8,2019-10,0.0,0.09661835748790981,0.1291520679971201,5.251330267226179
2019-02,CORE_FEEDBACK_R21,fuel,9,2019-11,0.0,-0.579150579150578,0.1291520679971201,4.670496107651489
2019-02,CORE_FEEDBACK_R21,fuel,10,2019-12,0.0,-0.4854368932038833,0.1291520679971201,4.1838771425341985
2019-02,CORE_FEEDBACK_R21,fuel,11,2020-01,0.0,0.7804878048780495,0.1291520679971201,4.961334897247198
2019-02,CORE_FEEDBACK_R21,fuel,12,2020-02,0.0,-1.4520813165537216,0.1291520679971201,3.4986076963301547
2019-02,CORE_FEEDBACK_R21,administered,1,2019-03,0.1,0.9,0.09995003330835331,0.8959741371471904
2019-02,CORE_FEEDBACK_R21,administered,2,2019-04,0.1,0.1,0.19990006661670662,0.9959241704555437
2019-02,CORE_FEEDBACK_R21,administered,3,2019-05,0.1,0.3,0.2998500999250599,1.2954750684353917
2019-02,CORE_FEEDBACK_R21,administered,4,2019-06,0.0,0.2,0.2998500999250599,1.4952753347026972
2019-02,CORE_FEEDBACK_R21,administered,5,2019-07,0.05,0.0,0.34983760409016473,1.4952753347026972
2019-02,CORE_FEEDBACK_R21,administered,6,2019-08,0.0,0.0,0.34983760409016473,1.4952753347026972
2019-02,CORE_FEEDBACK_R21,administered,7,2019-09,0.1,0.2,0.449787637398518,1.695075600970003
2019-02,CORE_FEEDBACK_R21,administered,8,2019-10,0.0,0.0,0.449787637398518,1.695075600970003
2019-02,CORE_FEEDBACK_R21,administered,9,2019-11,0.0,0.4,0.449787637398518,2.0942777279237483
2019-02,CORE_FEEDBACK_R21,administered,10,2019-12,0.0,0.2,0.449787637398518,2.294077994191054
2019-02,CORE_FEEDBACK_R21,administered,11,2020-01,1.5,1.5,1.9386488867735836,3.782939243566119
2019-02,CORE_FEEDBACK_R21,administered,12,2020-02,0.05,0.2,1.9886363909386882,3.9827395098334244
2019-02,CORE_FEEDBACK_R21,alcohol_tobacco,1,2019-03,0.5070259413749834,0.7174887892376747,0.5057448931886083,0.7149270844224112
2019-02,CORE_FEEDBACK_R21,alcohol_tobacco,2,2019-04,0.6547269024545554,-1.6028495102404228,1.1583377686937224,-0.900906994236583
2019-02,CORE_FEEDBACK_R21,alcohol_tobacco,3,2019-05,0.12036906490745512,1.538461538461533,1.2786344481229035,0.6258402188422549
2019-02,CORE_FEEDBACK_R21,alcohol_tobacco,4,2019-06,-0.0443104061040811,-0.6238859180035639,1.2343142220574264,7.025630077706069e-15
2019-02,CORE_FEEDBACK_R21,alcohol_tobacco,5,2019-07,0.5006382609860527,-0.4484304932735439,1.7337034567029352,-0.4494389587839256
2019-02,CORE_FEEDBACK_R21,alcohol_tobacco,6,2019-08,-0.3328819766809238,0.6306306306306242,1.400266195332467,0.17921151749815686
2019-02,CORE_FEEDBACK_R21,alcohol_tobacco,7,2019-09,0.2824815536417502,0.4476275738585444,1.6823495196068734,0.6258402188422432
2019-02,CORE_FEEDBACK_R21,alcohol_tobacco,8,2019-10,0.11621002199403706,0.0,1.7984920700222833,0.6258402188422432
2019-02,CORE_FEEDBACK_R21,alcohol_tobacco,9,2019-11,-0.0828143751614413,0.0,1.715643384813433,0.6258402188422432
2019-02,CORE_FEEDBACK_R21,alcohol_tobacco,10,2019-12,-0.5158842570692518,-0.4456327985739805,1.198423850607993,0.179211517498146
2019-02,CORE_FEEDBACK_R21,alcohol_tobacco,11,2020-01,2.3255735322844586,4.476275738585489,3.4973679887192013,4.558194839233666
2019-02,CORE_FEEDBACK_R21,alcohol_tobacco,12,2020-02,0.08872469572955288,-1.4567266495287057,3.586053347356683,3.090753746307643
2019-02,DAMPED_P95_Q001_R16,core,1,2019-03,0.1812956672963691,-0.1,0.18113152506003186,-0.10005003335835334
2019-02,DAMPED_P95_Q001_R16,core,2,2019-04,0.5393810415619901,0.4,0.719063116784447,0.29915209359539197
2019-02,DAMPED_P95_Q001_R16,core,3,2019-05,0.2580841434569491,0.1,0.9768147950196995,0.3991021269037453
2019-02,DAMPED_P95_Q001_R16,core,4,2019-06,0.3281486619280957,0.3,1.3044262241867526,0.6986530248835933
2019-02,DAMPED_P95_Q001_R16,core,5,2019-07,0.5954797040741293,1.0,1.8981399550777285,1.6936861102004013
2019-02,DAMPED_P95_Q001_R16,core,6,2019-08,0.28620692063086955,0.2,2.1839380835101387,1.8934863764677072
2019-02,DAMPED_P95_Q001_R16,core,7,2019-09,-0.25294831122479966,-0.9,1.9306693175406084,0.9894119112528008
2019-02,DAMPED_P95_Q001_R16,core,8,2019-10,0.4937186459838267,0.6,2.4231731698187287,1.5876190790075473
2019-02,DAMPED_P95_Q001_R16,core,9,2019-11,0.1420579600163845,0.0,2.565130322973247,1.5876190790075473
2019-02,DAMPED_P95_Q001_R16,core,10,2019-12,0.3123007301510632,0.1,2.876944407329712,1.6875691123159005
2019-02,DAMPED_P95_Q001_R16,core,11,2020-01,0.42071158686008087,0.8,3.2967734773610466,2.4843860772335877
2019-02,DAMPED_P95_Q001_R16,core,12,2020-02,0.4342964548662122,0.7,3.730129586781933,3.1819474508761116
2019-02,DAMPED_P95_Q001_R16,food,1,2019-03,-0.19116997637700336,0.0,-0.19135293939376602,0.0
2019-02,DAMPED_P95_Q001_R16,food,2,2019-04,-0.21039972272790136,-0.6505576208178376,-0.401974313295163,-0.6526829696684437
2019-02,DAMPED_P95_Q001_R16,food,3,2019-05,0.30790890503174134,1.9644527595883865,-0.09453847690086498,1.2927234501459586
2019-02,DAMPED_P95_Q001_R16,food,4,2019-06,0.02871693619559069,0.3669724770642313,-0.06582566322817396,1.6590242260196828
2019-02,DAMPED_P95_Q001_R16,food,5,2019-07,-0.16378665538176962,-0.5484460694698434,-0.229746595590896,1.109068669415817
2019-02,DAMPED_P95_Q001_R16,food,6,2019-08,-0.5623823684662368,-0.27573529411764053,-0.7937162877153104,0.8329525252830223
2019-02,DAMPED_P95_Q001_R16,food,7,2019-09,0.41939609245457943,-0.552995391705069,-0.3751972094189144,0.2784224536404959
2019-02,DAMPED_P95_Q001_R16,food,8,2019-10,0.3746928544859207,0.8341056533827551,-0.0012045800251502242,1.109068669415817
2019-02,DAMPED_P95_Q001_R16,food,9,2019-11,0.09247084882088372,1.194852941176472,0.09122354084489566,2.2968396000950206
2019-02,DAMPED_P95_Q001_R16,food,10,2019-12,0.396653662946015,0.7266121707538709,0.4870926072189444,3.0208246628637387
2019-02,DAMPED_P95_Q001_R16,food,11,2020-01,1.1067664352311466,2.3444544634806164,1.5877792013676901,5.3382189193773435
2019-02,DAMPED_P95_Q001_R16,food,12,2020-02,0.3041309806327488,0.0,1.8914486392929906,5.3382189193773435
2019-02,DAMPED_P95_Q001_R16,fuel,1,2019-03,0.1292355051968831,1.1190233977619535,0.1291520679971201,1.1128086509407487
2019-02,DAMPED_P95_Q001_R16,fuel,2,2019-04,0.0,3.9235412474849074,0.1291520679971201,4.961334897247198
2019-02,DAMPED_P95_Q001_R16,fuel,3,2019-05,0.0,2.613746369796721,0.1291520679971201,7.541506695894638
2019-02,DAMPED_P95_Q001_R16,fuel,4,2019-06,0.0,-0.09433962264150386,0.1291520679971201,7.447122545424007
2019-02,DAMPED_P95_Q001_R16,fuel,5,2019-07,0.0,-1.3220018885741314,0.1291520679971201,6.116304425174493
2019-02,DAMPED_P95_Q001_R16,fuel,6,2019-08,0.0,-0.4784688995215336,0.1291520679971201,5.6366871988251885
2019-02,DAMPED_P95_Q001_R16,fuel,7,2019-09,0.0,-0.48076923076922906,0.1291520679971201,5.1547585552303
2019-02,DAMPED_P95_Q001_R16,fuel,8,2019-10,0.0,0.09661835748790981,0.1291520679971201,5.251330267226179
2019-02,DAMPED_P95_Q001_R16,fuel,9,2019-11,0.0,-0.579150579150578,0.1291520679971201,4.670496107651489
2019-02,DAMPED_P95_Q001_R16,fuel,10,2019-12,0.0,-0.4854368932038833,0.1291520679971201,4.1838771425341985
2019-02,DAMPED_P95_Q001_R16,fuel,11,2020-01,0.0,0.7804878048780495,0.1291520679971201,4.961334897247198
2019-02,DAMPED_P95_Q001_R16,fuel,12,2020-02,0.0,-1.4520813165537216,0.1291520679971201,3.4986076963301547
2019-02,DAMPED_P95_Q001_R16,administered,1,2019-03,0.1,0.9,0.09995003330835331,0.8959741371471904
2019-02,DAMPED_P95_Q001_R16,administered,2,2019-04,0.1,0.1,0.19990006661670662,0.9959241704555437
2019-02,DAMPED_P95_Q001_R16,administered,3,2019-05,0.1,0.3,0.2998500999250599,1.2954750684353917
2019-02,DAMPED_P95_Q001_R16,administered,4,2019-06,0.0,0.2,0.2998500999250599,1.4952753347026972
2019-02,DAMPED_P95_Q001_R16,administered,5,2019-07,0.05,0.0,0.34983760409016473,1.4952753347026972
2019-02,DAMPED_P95_Q001_R16,administered,6,2019-08,0.0,0.0,0.34983760409016473,1.4952753347026972
2019-02,DAMPED_P95_Q001_R16,administered,7,2019-09,0.1,0.2,0.449787637398518,1.695075600970003
2019-02,DAMPED_P95_Q001_R16,administered,8,2019-10,0.0,0.0,0.449787637398518,1.695075600970003
2019-02,DAMPED_P95_Q001_R16,administered,9,2019-11,0.0,0.4,0.449787637398518,2.0942777279237483
2019-02,DAMPED_P95_Q001_R16,administered,10,2019-12,0.0,0.2,0.449787637398518,2.294077994191054
2019-02,DAMPED_P95_Q001_R16,administered,11,2020-01,1.5,1.5,1.9386488867735836,3.782939243566119
2019-02,DAMPED_P95_Q001_R16,administered,12,2020-02,0.05,0.2,1.9886363909386882,3.9827395098334244
2019-02,DAMPED_P95_Q001_R16,alcohol_tobacco,1,2019-03,0.5070259413749834,0.7174887892376747,0.5057448931886083,0.7149270844224112
2019-02,DAMPED_P95_Q001_R16,alcohol_tobacco,2,2019-04,0.6547269024545554,-1.6028495102404228,1.1583377686937224,-0.900906994236583
2019-02,DAMPED_P95_Q001_R16,alcohol_tobacco,3,2019-05,0.12036906490745512,1.538461538461533,1.2786344481229035,0.6258402188422549
2019-02,DAMPED_P95_Q001_R16,alcohol_tobacco,4,2019-06,-0.0443104061040811,-0.6238859180035639,1.2343142220574264,7.025630077706069e-15
2019-02,DAMPED_P95_Q001_R16,alcohol_tobacco,5,2019-07,0.5006382609860527,-0.4484304932735439,1.7337034567029352,-0.4494389587839256
2019-02,DAMPED_P95_Q001_R16,alcohol_tobacco,6,2019-08,-0.3328819766809238,0.6306306306306242,1.400266195332467,0.17921151749815686
2019-02,DAMPED_P95_Q001_R16,alcohol_tobacco,7,2019-09,0.2824815536417502,0.4476275738585444,1.6823495196068734,0.6258402188422432
2019-02,DAMPED_P95_Q001_R16,alcohol_tobacco,8,2019-10,0.11621002199403706,0.0,1.7984920700222833,0.6258402188422432
2019-02,DAMPED_P95_Q001_R16,alcohol_tobacco,9,2019-11,-0.0828143751614413,0.0,1.715643384813433,0.6258402188422432
2019-02,DAMPED_P95_Q001_R16,alcohol_tobacco,10,2019-12,-0.5158842570692518,-0.4456327985739805,1.198423850607993,0.179211517498146
2019-02,DAMPED_P95_Q001_R16,alcohol_tobacco,11,2020-01,2.3255735322844586,4.476275738585489,3.4973679887192013,4.558194839233666
2019-02,DAMPED_P95_Q001_R16,alcohol_tobacco,12,2020-02,0.08872469572955288,-1.4567266495287057,3.586053347356683,3.090753746307643
2019-02,PRESS_DOMESTIC_R23B,core,1,2019-03,0.18340671994218705,-0.1,0.18323873518311637,-0.10005003335835334
2019-02,PRESS_DOMESTIC_R23B,core,2,2019-04,0.5381206755136526,0.4,0.7199167147056776,0.29915209359539197
2019-02,PRESS_DOMESTIC_R23B,core,3,2019-05,0.2634688142465309,0.1,0.9830390582997925,0.3991021269037453
2019-02,PRESS_DOMESTIC_R23B,core,4,2019-06,0.3403383674165175,0.3,1.3227995853983336,0.6986530248835933
2019-02,PRESS_DOMESTIC_R23B,core,5,2019-07,0.6146702706592303,1.0,1.9355884639850895,1.6936861102004013
2019-02,PRESS_DOMESTIC_R23B,core,6,2019-08,0.29254019772208945,0.2,2.2277015955614643,1.8934863764677072
2019-02,PRESS_DOMESTIC_R23B,core,7,2019-09,-0.25924242988022733,-0.9,1.9681225506020563,0.9894119112528008
2019-02,PRESS_DOMESTIC_R23B,core,8,2019-10,0.47482072737840936,0.6,2.441819560057868,1.5876190790075473
2019-02,PRESS_DOMESTIC_R23B,core,9,2019-11,0.12228320826219653,0.0,2.5640280632998778,1.5876190790075473
2019-02,PRESS_DOMESTIC_R23B,core,10,2019-12,0.2916651517844828,0.1,2.855268697526736,1.6875691123159005
2019-02,PRESS_DOMESTIC_R23B,core,11,2020-01,0.3993375187600291,0.8,3.2538109804310342,2.4843860772335877
2019-02,PRESS_DOMESTIC_R23B,core,12,2020-02,0.4108749072565891,0.7,3.663844101744266,3.1819474508761116
2019-02,PRESS_DOMESTIC_R23B,food,1,2019-03,-0.19116997637700336,0.0,-0.19135293939376602,0.0
2019-02,PRESS_DOMESTIC_R23B,food,2,2019-04,-0.21039972272790136,-0.6505576208178376,-0.401974313295163,-0.6526829696684437
2019-02,PRESS_DOMESTIC_R23B,food,3,2019-05,0.30790890503174134,1.9644527595883865,-0.09453847690086498,1.2927234501459586
2019-02,PRESS_DOMESTIC_R23B,food,4,2019-06,0.02871693619559069,0.3669724770642313,-0.06582566322817396,1.6590242260196828
2019-02,PRESS_DOMESTIC_R23B,food,5,2019-07,-0.16378665538176962,-0.5484460694698434,-0.229746595590896,1.109068669415817
2019-02,PRESS_DOMESTIC_R23B,food,6,2019-08,-0.5623823684662368,-0.27573529411764053,-0.7937162877153104,0.8329525252830223
2019-02,PRESS_DOMESTIC_R23B,food,7,2019-09,0.41939609245457943,-0.552995391705069,-0.3751972094189144,0.2784224536404959
2019-02,PRESS_DOMESTIC_R23B,food,8,2019-10,0.3746928544859207,0.8341056533827551,-0.0012045800251502242,1.109068669415817
2019-02,PRESS_DOMESTIC_R23B,food,9,2019-11,0.09247084882088372,1.194852941176472,0.09122354084489566,2.2968396000950206
2019-02,PRESS_DOMESTIC_R23B,food,10,2019-12,0.396653662946015,0.7266121707538709,0.4870926072189444,3.0208246628637387
2019-02,PRESS_DOMESTIC_R23B,food,11,2020-01,1.1067664352311466,2.3444544634806164,1.5877792013676901,5.3382189193773435
2019-02,PRESS_DOMESTIC_R23B,food,12,2020-02,0.3041309806327488,0.0,1.8914486392929906,5.3382189193773435
2019-02,PRESS_DOMESTIC_R23B,fuel,1,2019-03,0.1292355051968831,1.1190233977619535,0.1291520679971201,1.1128086509407487
2019-02,PRESS_DOMESTIC_R23B,fuel,2,2019-04,0.0,3.9235412474849074,0.1291520679971201,4.961334897247198
2019-02,PRESS_DOMESTIC_R23B,fuel,3,2019-05,0.0,2.613746369796721,0.1291520679971201,7.541506695894638
2019-02,PRESS_DOMESTIC_R23B,fuel,4,2019-06,0.0,-0.09433962264150386,0.1291520679971201,7.447122545424007
2019-02,PRESS_DOMESTIC_R23B,fuel,5,2019-07,0.0,-1.3220018885741314,0.1291520679971201,6.116304425174493
2019-02,PRESS_DOMESTIC_R23B,fuel,6,2019-08,0.0,-0.4784688995215336,0.1291520679971201,5.6366871988251885
2019-02,PRESS_DOMESTIC_R23B,fuel,7,2019-09,0.0,-0.48076923076922906,0.1291520679971201,5.1547585552303
2019-02,PRESS_DOMESTIC_R23B,fuel,8,2019-10,0.0,0.09661835748790981,0.1291520679971201,5.251330267226179
2019-02,PRESS_DOMESTIC_R23B,fuel,9,2019-11,0.0,-0.579150579150578,0.1291520679971201,4.670496107651489
2019-02,PRESS_DOMESTIC_R23B,fuel,10,2019-12,0.0,-0.4854368932038833,0.1291520679971201,4.1838771425341985
2019-02,PRESS_DOMESTIC_R23B,fuel,11,2020-01,0.0,0.7804878048780495,0.1291520679971201,4.961334897247198
2019-02,PRESS_DOMESTIC_R23B,fuel,12,2020-02,0.0,-1.4520813165537216,0.1291520679971201,3.4986076963301547
2019-02,PRESS_DOMESTIC_R23B,administered,1,2019-03,0.1,0.9,0.09995003330835331,0.8959741371471904
2019-02,PRESS_DOMESTIC_R23B,administered,2,2019-04,0.1,0.1,0.19990006661670662,0.9959241704555437
2019-02,PRESS_DOMESTIC_R23B,administered,3,2019-05,0.1,0.3,0.2998500999250599,1.2954750684353917
2019-02,PRESS_DOMESTIC_R23B,administered,4,2019-06,0.0,0.2,0.2998500999250599,1.4952753347026972
2019-02,PRESS_DOMESTIC_R23B,administered,5,2019-07,0.05,0.0,0.34983760409016473,1.4952753347026972
2019-02,PRESS_DOMESTIC_R23B,administered,6,2019-08,0.0,0.0,0.34983760409016473,1.4952753347026972
2019-02,PRESS_DOMESTIC_R23B,administered,7,2019-09,0.1,0.2,0.449787637398518,1.695075600970003
2019-02,PRESS_DOMESTIC_R23B,administered,8,2019-10,0.0,0.0,0.449787637398518,1.695075600970003
2019-02,PRESS_DOMESTIC_R23B,administered,9,2019-11,0.0,0.4,0.449787637398518,2.0942777279237483
2019-02,PRESS_DOMESTIC_R23B,administered,10,2019-12,0.0,0.2,0.449787637398518,2.294077994191054
2019-02,PRESS_DOMESTIC_R23B,administered,11,2020-01,1.5,1.5,1.9386488867735836,3.782939243566119
2019-02,PRESS_DOMESTIC_R23B,administered,12,2020-02,0.05,0.2,1.9886363909386882,3.9827395098334244
2019-02,PRESS_DOMESTIC_R23B,alcohol_tobacco,1,2019-03,0.5070259413749834,0.7174887892376747,0.5057448931886083,0.7149270844224112
2019-02,PRESS_DOMESTIC_R23B,alcohol_tobacco,2,2019-04,0.6547269024545554,-1.6028495102404228,1.1583377686937224,-0.900906994236583
2019-02,PRESS_DOMESTIC_R23B,alcohol_tobacco,3,2019-05,0.12036906490745512,1.538461538461533,1.2786344481229035,0.6258402188422549
2019-02,PRESS_DOMESTIC_R23B,alcohol_tobacco,4,2019-06,-0.0443104061040811,-0.6238859180035639,1.2343142220574264,7.025630077706069e-15
2019-02,PRESS_DOMESTIC_R23B,alcohol_tobacco,5,2019-07,0.5006382609860527,-0.4484304932735439,1.7337034567029352,-0.4494389587839256
2019-02,PRESS_DOMESTIC_R23B,alcohol_tobacco,6,2019-08,-0.3328819766809238,0.6306306306306242,1.400266195332467,0.17921151749815686
2019-02,PRESS_DOMESTIC_R23B,alcohol_tobacco,7,2019-09,0.2824815536417502,0.4476275738585444,1.6823495196068734,0.6258402188422432
2019-02,PRESS_DOMESTIC_R23B,alcohol_tobacco,8,2019-10,0.11621002199403706,0.0,1.7984920700222833,0.6258402188422432
2019-02,PRESS_DOMESTIC_R23B,alcohol_tobacco,9,2019-11,-0.0828143751614413,0.0,1.715643384813433,0.6258402188422432
2019-02,PRESS_DOMESTIC_R23B,alcohol_tobacco,10,2019-12,-0.5158842570692518,-0.4456327985739805,1.198423850607993,0.179211517498146
2019-02,PRESS_DOMESTIC_R23B,alcohol_tobacco,11,2020-01,2.3255735322844586,4.476275738585489,3.4973679887192013,4.558194839233666
2019-02,PRESS_DOMESTIC_R23B,alcohol_tobacco,12,2020-02,0.08872469572955288,-1.4567266495287057,3.586053347356683,3.090753746307643
2019-02,PRESS_JOINT_R23B,core,1,2019-03,0.18075392578352725,-0.1,0.1805907624615823,-0.10005003335835334
2019-02,PRESS_JOINT_R23B,core,2,2019-04,0.5354584887505672,0.4,0.7146207692626096,0.29915209359539197
2019-02,PRESS_JOINT_R23B,core,3,2019-05,0.26877885346141,0.1,0.9830390582997929,0.3991021269037453
2019-02,PRESS_JOINT_R23B,core,4,2019-06,0.3536241708515579,0.3,1.3360394490060044,0.6986530248835933
2019-02,PRESS_JOINT_R23B,core,5,2019-07,0.6359865205544742,1.0,1.9700121093650331,1.6936861102004013
2019-02,PRESS_JOINT_R23B,core,6,2019-08,0.3056747958443427,0.2,2.2752206696733586,1.8934863764677072
2019-02,PRESS_JOINT_R23B,core,7,2019-09,-0.25424820962213723,-0.9,2.0206487004055784,0.9894119112528008
2019-02,PRESS_JOINT_R23B,core,8,2019-10,0.47172486718246,0.6,2.4912644325126956,1.5876190790075473
2019-02,PRESS_JOINT_R23B,core,9,2019-11,0.12035507355731691,0.0,2.6115471374117725,1.5876190790075473
2019-02,PRESS_JOINT_R23B,core,10,2019-12,0.2908925886698507,0.1,2.902017452301457,1.6875691123159005
2019-02,PRESS_JOINT_R23B,core,11,2020-01,0.39972421726038243,0.8,3.300944894874342,2.4843860772335877
2019-02,PRESS_JOINT_R23B,core,12,2020-02,0.41126165019439537,0.7,3.7113631758561603,3.1819474508761116
2019-02,PRESS_JOINT_R23B,food,1,2019-03,-0.19116997637700336,0.0,-0.19135293939376602,0.0
2019-02,PRESS_JOINT_R23B,food,2,2019-04,-0.21039972272790136,-0.6505576208178376,-0.401974313295163,-0.6526829696684437
2019-02,PRESS_JOINT_R23B,food,3,2019-05,0.30790890503174134,1.9644527595883865,-0.09453847690086498,1.2927234501459586
2019-02,PRESS_JOINT_R23B,food,4,2019-06,0.02871693619559069,0.3669724770642313,-0.06582566322817396,1.6590242260196828
2019-02,PRESS_JOINT_R23B,food,5,2019-07,-0.16378665538176962,-0.5484460694698434,-0.229746595590896,1.109068669415817
2019-02,PRESS_JOINT_R23B,food,6,2019-08,-0.5623823684662368,-0.27573529411764053,-0.7937162877153104,0.8329525252830223
2019-02,PRESS_JOINT_R23B,food,7,2019-09,0.41939609245457943,-0.552995391705069,-0.3751972094189144,0.2784224536404959
2019-02,PRESS_JOINT_R23B,food,8,2019-10,0.3746928544859207,0.8341056533827551,-0.0012045800251502242,1.109068669415817
2019-02,PRESS_JOINT_R23B,food,9,2019-11,0.09247084882088372,1.194852941176472,0.09122354084489566,2.2968396000950206
2019-02,PRESS_JOINT_R23B,food,10,2019-12,0.396653662946015,0.7266121707538709,0.4870926072189444,3.0208246628637387
2019-02,PRESS_JOINT_R23B,food,11,2020-01,1.1067664352311466,2.3444544634806164,1.5877792013676901,5.3382189193773435
2019-02,PRESS_JOINT_R23B,food,12,2020-02,0.3041309806327488,0.0,1.8914486392929906,5.3382189193773435
2019-02,PRESS_JOINT_R23B,fuel,1,2019-03,0.1292355051968831,1.1190233977619535,0.1291520679971201,1.1128086509407487
2019-02,PRESS_JOINT_R23B,fuel,2,2019-04,0.0,3.9235412474849074,0.1291520679971201,4.961334897247198
2019-02,PRESS_JOINT_R23B,fuel,3,2019-05,0.0,2.613746369796721,0.1291520679971201,7.541506695894638
2019-02,PRESS_JOINT_R23B,fuel,4,2019-06,0.0,-0.09433962264150386,0.1291520679971201,7.447122545424007
2019-02,PRESS_JOINT_R23B,fuel,5,2019-07,0.0,-1.3220018885741314,0.1291520679971201,6.116304425174493
2019-02,PRESS_JOINT_R23B,fuel,6,2019-08,0.0,-0.4784688995215336,0.1291520679971201,5.6366871988251885
2019-02,PRESS_JOINT_R23B,fuel,7,2019-09,0.0,-0.48076923076922906,0.1291520679971201,5.1547585552303
2019-02,PRESS_JOINT_R23B,fuel,8,2019-10,0.0,0.09661835748790981,0.1291520679971201,5.251330267226179
2019-02,PRESS_JOINT_R23B,fuel,9,2019-11,0.0,-0.579150579150578,0.1291520679971201,4.670496107651489
2019-02,PRESS_JOINT_R23B,fuel,10,2019-12,0.0,-0.4854368932038833,0.1291520679971201,4.1838771425341985
2019-02,PRESS_JOINT_R23B,fuel,11,2020-01,0.0,0.7804878048780495,0.1291520679971201,4.961334897247198
2019-02,PRESS_JOINT_R23B,fuel,12,2020-02,0.0,-1.4520813165537216,0.1291520679971201,3.4986076963301547
2019-02,PRESS_JOINT_R23B,administered,1,2019-03,0.1,0.9,0.09995003330835331,0.8959741371471904
2019-02,PRESS_JOINT_R23B,administered,2,2019-04,0.1,0.1,0.19990006661670662,0.9959241704555437
2019-02,PRESS_JOINT_R23B,administered,3,2019-05,0.1,0.3,0.2998500999250599,1.2954750684353917
