period,a6_01,a6_02,a6_03,a6_04,a6_05,a6_06,a6_07,a6_08,a6_09,a6_10,a6_11,a6_12,a6_13,a6_14,a6_15,a6_16,a6_17,a6_18,a6_19,a6_20,a6_21,a6_22,a6_23,a6_24,a6_25,a6_26,a6_27,a6_28,a6_29,a6_30,a6_31,a6_32,a6_33,a6_34,a6_35,a6_36,a6_37,a6_38,a6_39,a6_40,a6_41,a6_42,a6_43,a6_44,a6_45,a6_46,a6_47,a6_48,a6_49,a6_50,a6_51,a6_52,a6_53,a6_54,a6_55,a6_56,a6_57,a6_58,a6_59,a6_60,a6_61,a6_62,a6_63,a6_64,a6_65,a6_66,a6_67,a6_68,a6_69,a6_70,a6_71,a6_72
2002-05,11.0,27.8,0.20000000000000284,-1.0,-5.799999999999997,-4.0,-0.9000000000000004,1.5,-0.09999999999999787,0.30000000000000004,7.1,60.17772915,11336.0,,-0.34,-0.07,6.32,-14.9,-3.9000000000000004,-4.799999999999997,0.6999999999999957,-2.1000000000000014,0.0011327778539564903,8.4,5976.0,-0.012072581234269266,19.3,55.5,2.4000000000000004,-7.0,14.999999999999998,43.9,-4.799999999999997,0.3999999999999986,0.6000000000000014,-1.5,5.800000000000001,2.8,1.0,-0.5,-1.8000000000000007,-0.5,-4.2,-0.5,-0.001352265250013751,0.0,-0.0012666246151926686,-0.0017969456767019665,0.0,,,,5.12790495157242,3.65,3.75,0.0003258567345403307,-0.00012486732862626582,-0.02044523002260945,0.016194373453917166,24.61,-0.017150277442633755,0.01845192384424621,0.031604053778275354,,,,-1.0,-6.0,2.972727272727272,3.1,8.2,28.3
2002-06,18.0,29.4,13.0,10.0,0.0,7.599999999999998,-1.5,-1.5,-0.3000000000000007,-2.6,7.4,60.52179748,13294.0,,-0.34,-0.07,6.32,-15.1,-2.1999999999999993,-1.6000000000000014,-1.6000000000000014,0.3000000000000007,-0.0008089960800417018,8.5,9214.0,-0.006018072325562895,17.0,56.8,-0.30000000000000027,4.100000000000001,-1.0,53.0,-0.10000000000000142,5.399999999999999,-4.700000000000001,1.0,-0.3999999999999999,-1.7000000000000002,0.5,-11.7,0.0,1.4000000000000004,-16.0,-0.8,0.0,0.0033277900926753645,-0.0012682309879954445,0.0,0.0,,,-0.05766602208509541,4.79384771802209,3.08,3.0,0.01797390043689262,0.014381601705219182,-0.003989904043489645,0.024287034085521242,25.68,-0.019967385513868674,-0.017787030202730314,0.09332083996593132,,,,-0.09999999999999964,-1.0,2.958333333333333,2.75,-1.1,20.8
2002-07,11.2,18.9,-18.0,-23.0,0.7999999999999972,-6.399999999999999,-0.7000000000000002,1.5,1.3999999999999986,-2.8,7.1,60.0594619,13437.0,,-0.4,-0.06,6.32,-16.3,-2.200000000000001,5.300000000000004,2.9000000000000057,1.6999999999999993,0.0033933942233925762,8.6,-7264.0,-0.015113637810048194,16.8,60.2,0.30000000000000027,-0.7000000000000028,0.0,39.1,-14.3,-1.3999999999999986,-2.8000000000000007,-1.3999999999999986,1.7,-0.8999999999999995,-1.6999999999999993,2.0,-0.3999999999999986,-0.20000000000000107,-18.9,-1.3,-0.006788892333686292,0.0,-0.0076433493125680485,0.0,0.0,,,-0.06079155315997378,4.56783835825167,3.04,3.0,0.021317818683008305,0.026240572652517002,-0.044591258368892994,0.01534118043987398,26.35,0.03549691705876912,-0.04312330007057774,0.023215778976675594,,,,6.699999999999999,1.0,3.0,2.6545454545454543,0.6,22.5
2002-08,0.2,16.5,-3.200000000000003,0.0,1.0,0.8000000000000007,3.6000000000000005,-1.5,0.8000000000000007,0.19999999999999973,7.2,61.4815209,13397.0,,-0.4,-0.06,5.49,-16.8,3.1000000000000014,-5.400000000000006,1.7999999999999972,0.5,-0.0020993144569043665,8.7,-7264.0,-0.009040744652149123,14.8,61.0,-2.7,-0.5,-20.0,37.8,0.8000000000000007,-5.600000000000001,-1.0,-1.4000000000000021,-5.1000000000000005,1.7999999999999998,0.5,6.3999999999999995,4.899999999999999,0.3000000000000007,-14.7,-1.2,-0.0013633267278647665,0.0,0.0,0.0,0.0,,,0.02778614188214165,4.47521060705185,2.88,3.0,-0.040269608044462224,-0.03912479449223216,0.009750911735443069,0.01480518076095727,28.29,0.020072934096041717,0.0034638067191878896,0.062134786388788665,,,,-7.499999999999999,10.0,2.94,3.07,-3.0,47.9
2002-09,8.2,22.5,12.900000000000006,0.0,-4.699999999999996,-5.0,-2.9000000000000004,0.0,0.0,-1.3000000000000003,7.2,60.5254081,13223.0,,-0.4,-0.06,5.49,-16.0,-3.6000000000000014,0.10000000000000142,-2.6000000000000014,-4.1,-0.0012940797664882098,8.9,1504.0,0.01488861249375055,15.1,59.4,4.0,-1.5,2.0,41.6,-5.699999999999999,-10.7,-4.199999999999999,-4.300000000000001,-1.5999999999999996,-1.0,-5.200000000000001,9.7,6.399999999999999,-6.6,-10.0,-1.1,0.0013633267278647665,0.003316752625993402,0.0,0.0,0.0,,,0.03377791535912958,4.28704513744874,2.72,3.0,0.0158536617832139,0.018040771018960733,-0.004800661350021329,0.03058771981776154,27.36,0.06239990843078669,0.010320009031989485,-0.013689144613749704,,,,-2.0,-1.0,2.908333333333333,2.5083333333333333,-4.5,42.2
2002-10,3.9,18.6,-3.9000000000000057,19.0,2.3999999999999986,-3.200000000000003,0.29999999999999893,0.0,-2.0,2.3000000000000003,7.1,61.81598113,14645.0,,-0.49,-0.05,5.49,-15.4,1.3000000000000007,3.8000000000000043,-1.1000000000000014,5.9,-0.0011336951574598686,9.0,1504.0,-0.004008021397538794,16.0,58.7,-2.9,-4.399999999999999,4.0,45.2,-5.5,-1.9000000000000021,-3.5000000000000004,0.5,6.2,1.6999999999999997,3.700000000000001,-8.9,-5.0,0.1999999999999993,-10.7,-0.8,0.008141157583700043,0.0,0.0,0.05935424264918332,0.0,,,-0.006735335938650208,4.21496179841814,2.75,2.75,-0.015201629593192933,-0.01878918068343083,0.0022650254380547352,0.0211585874266067,24.26,-0.002991774856822893,0.04810546712111474,0.011812091035878769,,,,2.0,-7.0,2.7545454545454544,2.3818181818181814,-2.2,33.1
2002-11,12.9,15.9,1.7000000000000028,-1.0,-4.799999999999997,11.0,2.3000000000000007,1.4,3.1999999999999993,3.9,7.5,62.4325773,14162.0,,-0.49,-0.05,5.29,-16.9,-0.5,-4.0,-1.0999999999999943,-2.1999999999999993,-0.003734073662580606,9.1,1742.0,0.003992021269537439,17.7,59.1,-0.10000000000000009,4.199999999999996,-17.0,46.8,10.2,10.200000000000003,-1.4,1.1000000000000014,-6.3,1.8,0.8999999999999986,9.5,6.399999999999999,-5.499999999999998,-14.0,-0.5,-0.001352265250013751,-0.0016570012076293494,0.0,-0.003395589001138788,0.0,,,-0.04836208774832566,4.147168590742,2.59,2.75,0.0,-0.004752979554416115,-0.006086086686414305,0.026586100496604814,27.48,-0.013574869091068642,-0.00032621106144770096,-0.014906226552117818,,,,3.999999999999999,-3.0,2.833333333333333,2.325,-3.3,31.2
2002-12,-0.2,22.7,-5.399999999999999,-9.0,-0.10000000000000142,-37.099999999999994,-0.9000000000000004,-1.4,1.9000000000000021,-1.9,7.4,63.42361108,12017.0,,-0.49,-0.05,5.29,-17.8,-0.5,0.29999999999999716,-0.8000000000000043,-1.700000000000001,0.010999787388996651,9.2,-11095.0,-0.00400802139753887,17.6,60.9,2.4,-1.3999999999999986,16.0,41.5,-5.300000000000001,2.1999999999999993,-1.3,-0.10000000000000142,2.3999999999999995,-6.2,0.20000000000000107,-8.5,2.3000000000000043,5.999999999999998,-15.7,-0.7,-0.004067802219325678,0.0,-0.0051282163669190695,0.0,0.0,,,-0.023443406404857176,4.09925269229072,2.55,2.5,-0.017092560316045002,-0.01248991193835014,-0.02169853211781181,0.03866853658823999,30.34,0.03212827698681675,0.02098543516388718,0.016079797863903345,,,,3.200000000000001,8.0,2.7,2.525,-11.1,36.1
2003-01,8.3,27.5,-2.1000000000000014,6.0,-2.8000000000000043,14.799999999999999,0.20000000000000107,0.0,-7.400000000000002,-2.6,7.2,63.592523,9831.0,,-0.59,-0.04,5.29,-16.1,1.9000000000000004,7.100000000000001,0.8999999999999986,-1.799999999999999,-0.00032180209449084174,9.4,-11095.0,0.010939940038334317,17.9,56.1,0.3999999999999999,-6.899999999999999,-6.0,40.6,6.300000000000001,2.400000000000002,4.3999999999999995,-0.5,5.0,4.4,-1.8000000000000007,-7.1,-2.6000000000000014,-3.4999999999999982,-13.2,-0.9,0.0,0.0016570012076293494,0.0038486256612939584,-0.022356907101276136,0.04735947003885821,,,0.023985850474813636,3.80975702404976,2.39,2.5,-0.0024341680529786913,-0.004070734536190557,0.014751363617673263,0.019656855068301837,32.18,0.0029368596733094776,0.0255494105553149,0.011892410183891311,,,,-2.0,3.1999999999999993,2.7916666666666665,2.4416666666666664,-12.4,37.3
2003-02,7.5,24.2,-0.7000000000000028,4.100000000000001,-7.5,25.0,-0.7000000000000011,0.0,-1.3999999999999986,0.7000000000000002,7.3,61.89998822,6919.0,,-0.59,-0.04,4.78,-17.7,3.5999999999999996,-2.5,2.200000000000003,-1.9000000000000004,0.005616639976089743,9.5,-1526.0,0.004987541511038959,22.0,56.9,0.9000000000000004,1.2000000000000028,3.0,42.0,2.8000000000000007,2.3999999999999986,-5.1,-1.8999999999999986,8.899999999999999,3.6,1.8000000000000007,2.5,5.899999999999999,-0.10000000000000142,-15.5,-0.7,0.004067802219325678,0.0,0.001279590705625111,0.0,0.00439561147303813,,,-0.006762422940095686,3.74575068553289,2.4,2.5,-0.003551218913520948,-0.0011478861027018894,-0.008214320582151657,0.011447889425241442,29.56,0.017442302663342346,-0.019815084552219808,-0.04383030106301122,,,,-5.2,-1.3999999999999986,2.8545454545454545,2.4818181818181824,-5.5,39.1
